,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
TÜRKIYE,0.0,0.0,0.0,187.37273471499583,187.37273471499583,187.37273471499583,562.1182041449874,562.1182041449874,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833
BRAZIL,0.0,0.0,0.0,0.0,0.0,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893,225.38551572539893
RUSSIA,0.0,0.0,201.83777527647666,403.6755505529533,403.6755505529533,403.6755505529533,454.13499437207247,454.13499437207247,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626,647.5628623453626
"IRAN, ISLAMIC REPUBLIC OF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARGENTINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635,4.2049536515932635
CHINA,107.983209772915,107.983209772915,674.4745657155595,1633.8767908630787,2967.351692856334,3751.8278460975735,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992,4483.994375912992
EGYPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0359213402072,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109
FRANCE,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808,274.1629780838808
UNITED KINGDOM,0.0,0.0,0.0,274.1629780838808,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615,548.3259561677615
UKRAINE,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222
INDIA,290.98279269025386,290.98279269025386,290.98279269025386,599.4581925711357,599.4581925711357,599.4581925711357,599.4581925711357,753.6958925115764,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174,907.9335924520174
SLOVAKIA,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144,74.00718426804144
JAPAN,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715,446.22968150707715
BANGLADESH,0.0,0.0,0.0,181.65399774882897,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794,363.30799549765794
"KOREA, REPUBLIC OF",450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786,450.77103145079786
Global,1992.3070401248883,1992.3070401248883,2760.636171344009,4873.541282196592,6662.833160022557,7672.694828989196,8830.066272053726,8984.303971994166,9893.583149614693,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797,10078.601110284797
