,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
TÜRKIYE,0.0,0.0,0.0,187.37273471499583,187.37273471499583,187.37273471499583,562.1182041449874,562.1182041449874,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833,749.4909388599833
BRAZIL,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673,542.2708229094673
RUSSIA,4663.629995909057,4663.629995909057,4865.467771185533,5067.30554646201,5067.30554646201,5067.30554646201,5117.764990281129,5117.764990281129,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419,5311.192858254419
"IRAN, ISLAMIC REPUBLIC OF",153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344
ARGENTINA,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506,280.21811134217506
CHINA,9048.051069352321,9048.051069352321,9614.542425294965,10573.944650442483,11907.419552435738,12691.89570567698,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398,13424.062235492398
EGYPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0359213402072,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109,555.0538820103109
FRANCE,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024,10596.483202015024
UNITED KINGDOM,989.5096932929268,989.5096932929268,989.5096932929268,1263.6726713768076,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883,1537.8356494606883
UKRAINE,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222,348.1701623519222
INDIA,1348.949131431119,1348.949131431119,1348.949131431119,1657.4245313120007,1657.4245313120007,1657.4245313120007,1657.4245313120007,1811.6622312524414,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824,1965.8999311928824
