Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ARGENTINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65520859433004,53.65520859433004,53.65520859433004,58.02836039198704,58.02836039198704,56.34637893134973,56.34637893134973,56.34637893134973,56.34637893134973,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,156.9288702774606,164.49778685032845,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,157.26526656958805,158.1062572999067,274.49937437600823,274.49937437600823,274.49937437600823,274.667572522072,274.667572522072,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818,276.0131576905818
ARMENIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.24968718800412,126.48500583992536,126.48500583992536,0.0,0.0,0.0,0.0,0.0,0.0,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.24250291996268,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,63.07430477389895,69.80223061644817,75.35276943655128,69.9704287625119,69.9704287625119
BELARUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.6999421307409,186.6999421307409,186.6999421307409,373.3998842614818
BELGIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.850179606701036,51.13223640337408,280.04991319611133,280.89090392643004,280.89090392643004,280.89090392643004,280.89090392643004,279.20892246579274,279.20892246579274,583.647566841145,583.1429724029538,583.1429724029538,747.4725611072186,922.9032274516896,925.5943977887092,921.7258404292434,925.2580014965818,925.2580014965818,925.2580014965818,925.2580014965818,925.2580014965818,930.9767384627486,947.1237604848668,957.3838473947542,963.4389806530484,960.7478103160288,960.7478103160288,960.7478103160288,960.7478103160288,968.821321327088,968.821321327088,975.7174453157008,975.7174453157008,979.5860026751668,979.5860026751668,979.5860026751668,992.7054580681375,996.7422135736672,996.910411719731,996.910411719731,996.910411719731,996.910411719731,994.5556376748386,994.5556376748386,995.3966284051572,995.3966284051572,997.415006157922,999.4333839106868,999.4333839106868,999.4333839106868,826.8620860492994
BRAZIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,105.29203943589532,332.3595366219316,332.3595366219316,319.74467566715174,319.74467566715174,319.74467566715174,319.74467566715174,319.74467566715174,301.9156721843963,297.0379259485481,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683,316.8853071840683
BULGARIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6615990995316,135.90410201949427,136.91329089587666,137.24968718800412,137.24968718800412,137.24968718800412,137.24968718800412,205.87453078200616,274.49937437600823,274.49937437600823,274.49937437600823,274.49937437600823,274.49937437600823,423.6911299345372,423.6911299345372,434.7922075747434,434.7922075747434,595.0850407734786,595.0850407734786,595.0850407734786,595.0850407734786,595.0850407734786,595.0850407734786,595.0850407734786,595.0850407734786,595.0850407734786,632.4250291996268,595.0850407734786,595.0850407734786,457.83535358547454,457.83535358547454,457.83535358547454,457.83535358547454,320.5856663974704,320.5856663974704,320.5856663974704,320.5856663974704,320.5856663974704,320.5856663974704,320.5856663974704,323.949629318745,323.949629318745,323.949629318745,323.949629318745,330.6775551612942,337.4054810038435,337.4054810038435,337.4054810038435,337.4054810038435,337.4054810038435
CANADA,0.0,0.0,0.0,0.0,0.0,0.0,37.00359213402072,214.11623993912897,345.3107938688388,426.55049841762064,426.3823002715569,425.709507687302,426.2141021254932,675.1473582998144,758.2372424552973,882.7038705424578,869.9208114416143,882.7038705424578,1076.2999366618117,1272.4189749721215,1625.8032798520194,1638.418140806799,1891.892746924841,2045.1212579888995,2049.4944097865564,2049.4944097865564,2205.4140911876348,2353.5966578697817,2353.5966578697817,2657.5307078069427,2649.120800503756,2649.120800503756,2506.488772641713,2506.488772641713,1966.9091200692649,1681.645064345178,1681.645064345178,1685.009027266453,1685.009027266453,1900.9754468122824,2032.50639703412,2116.605470065985,2120.9786218636423,2120.9786218636423,2115.428083043539,2114.0824978750293,2119.96943298726,2119.96943298726,2377.4807946108317,2270.6749718603623,2270.6749718603623,2274.711727365892,2279.757671747804,2279.757671747804,2279.757671747804,2279.757671747804,2291.531541972265,2291.531541972265,2291.531541972265,2304.1464029270446
CHINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4410660663544,364.48538252010405,368.0175435874424,364.48538252010405,368.0175435874424,364.48538252010405,364.48538252010405,368.0175435874424,364.48538252010405,624.8561126267589,893.4685518905366,1107.921188121793,1107.921188121793,1273.5963619945676,1419.2559564857584,1419.2559564857584,1419.2559564857584,1692.914340131448,1984.0653309677652,2159.6641954583,2684.4424111771395,3193.578199312052,4499.973199789047,5275.366653142844,5801.826850322322,7205.272181078089,7652.679249607612,7990.757523195711,8412.262077231419,8743.107830538776,8940.067859579405
CZECH REPUBLIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.76547511091864,201.6695771304129,274.49937437600823,274.49937437600823,274.49937437600823,274.49937437600823,274.49937437600823,274.49937437600823,299.72909628556783,299.72909628556783,299.72909628556783,277.1905447130279,296.02873707216577,277.1905447130279,277.1905447130279,439.1653593724004,433.6148205522973,590.0390963915668,587.0115297624195,596.767022234116,567.3323466729631,592.5620685825227,608.7090906046408,611.2320627955968,618.1281867842097,618.1281867842097,632.4250291996268,639.8257476264309,653.2815993115294,656.645562232804,661.0187140304611,661.0187140304611,661.0187140304611,661.3551103225884,661.3551103225884,661.691506614716,661.691506614716,661.691506614716,661.691506614716
FINLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.32520280740414,183.3359792094663,179.13102555787304,371.38150650871705,370.0359213402072,369.3631287559523,374.24087499180047,388.5377174072176,386.8557359465802,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,388.5377174072176,412.9264485864585,446.73427594526834,446.73427594526834,446.73427594526834,446.73427594526834,446.73427594526834,446.73427594526834,446.73427594526834,450.0982388665429,453.4622017878176,453.4622017878176,453.4622017878176,453.4622017878176,456.82616470909215,460.1901276303668,462.8812979673864,462.8812979673864,462.8812979673864,462.8812979673864,464.8996757201512,465.7406664504699,468.2636386414258,469.9456201020631,469.9456201020631,469.9456201020631,739.062653804032,739.062653804032
