Country,Probabilidade,Disponibilidade,Preço,Urânio (Ton.)
Algeria,RAR,in Situ,<USD 40/kgU,0
Algeria,RAR,in Situ,<USD 80/kgU,0
Algeria,RAR,in Situ,<USD 130/kgU,0
Algeria,RAR,in Situ,<USD 260/kgU,26000
Algeria,RAR,Recoverable,<USD 40/kgU,0
Algeria,RAR,Recoverable,<USD 80/kgU,0
Algeria,RAR,Recoverable,<USD 130/kgU,0
Algeria,RAR,Recoverable,<USD 260/kgU,19500
Argentina,Inferred,in Situ,<USD 40/kgU,3200
Argentina,Inferred,in Situ,<USD 80/kgU,16300
Argentina,Inferred,in Situ,<USD 130/kgU,31800
Argentina,Inferred,in Situ,<USD 260/kgU,33100
Argentina,RAR,in Situ,<USD 40/kgU,0
Argentina,RAR,in Situ,<USD 80/kgU,9600
Argentina,RAR,in Situ,<USD 130/kgU,14400
Argentina,RAR,in Situ,<USD 260/kgU,14400
Argentina,RAR,Recoverable,<USD 40/kgU,0
Argentina,RAR,Recoverable,<USD 80/kgU,7000
Argentina,RAR,Recoverable,<USD 130/kgU,10500
Argentina,RAR,Recoverable,<USD 260/kgU,10500
Argentina,Inferred,Recoverable,<USD 40/kgU,2400
Argentina,Inferred,Recoverable,<USD 80/kgU,12300
Argentina,Inferred,Recoverable,<USD 130/kgU,23800
Argentina,Inferred,Recoverable,<USD 260/kgU,24800
Australia,Inferred,in Situ,<USD 40/kgU,0
Australia,Inferred,in Situ,<USD 80/kgU,0
Australia,Inferred,in Situ,<USD 130/kgU,700900
Australia,Inferred,in Situ,<USD 260/kgU,985100
Australia,RAR,Recoverable,<USD 40/kgU,0
Australia,RAR,Recoverable,<USD 80/kgU,0
Australia,RAR,Recoverable,<USD 130/kgU,1238700
Australia,RAR,Recoverable,<USD 260/kgU,1317800
Australia,Inferred,Recoverable,<USD 40/kgU,0
Australia,Inferred,Recoverable,<USD 80/kgU,0
Australia,Inferred,Recoverable,<USD 130/kgU,445400
Australia,Inferred,Recoverable,<USD 260/kgU,642000
Australia,RAR,in Situ,<USD 40/kgU,0
Australia,RAR,in Situ,<USD 80/kgU,0
Australia,RAR,in Situ,<USD 130/kgU,1907500
Australia,RAR,in Situ,<USD 260/kgU,2076300
Bolivia,Inferred,in Situ,<USD 40/kgU,0
Bolivia,Inferred,in Situ,<USD 80/kgU,0
Bolivia,Inferred,in Situ,<USD 130/kgU,0
Bolivia,Inferred,in Situ,<USD 260/kgU,1700
Bolivia,Inferred,Recoverable,<USD 40/kgU,0
Bolivia,Inferred,Recoverable,<USD 80/kgU,0
Bolivia,Inferred,Recoverable,<USD 130/kgU,0
Bolivia,Inferred,Recoverable,<USD 260/kgU,1400
Botswana,RAR,in Situ,<USD 40/kgU,0
Botswana,RAR,in Situ,<USD 80/kgU,0
Botswana,RAR,in Situ,<USD 130/kgU,32900
Botswana,RAR,in Situ,<USD 260/kgU,32900
Botswana,Inferred,in Situ,<USD 40/kgU,0
Botswana,Inferred,in Situ,<USD 80/kgU,0
Botswana,Inferred,in Situ,<USD 130/kgU,107700
Botswana,Inferred,in Situ,<USD 260/kgU,107700
Botswana,Inferred,Recoverable,<USD 40/kgU,0
Botswana,Inferred,Recoverable,<USD 80/kgU,0
Botswana,Inferred,Recoverable,<USD 130/kgU,66800
Botswana,Inferred,Recoverable,<USD 260/kgU,66800
Botswana,RAR,Recoverable,<USD 40/kgU,0
Botswana,RAR,Recoverable,<USD 80/kgU,0
Botswana,RAR,Recoverable,<USD 130/kgU,20400
Botswana,RAR,Recoverable,<USD 260/kgU,20400
Brazil,RAR,in Situ,<USD 40/kgU,184300
Brazil,RAR,in Situ,<USD 80/kgU,209700
Brazil,RAR,in Situ,<USD 130/kgU,209700
Brazil,RAR,in Situ,<USD 260/kgU,209700
Brazil,Inferred,Recoverable,<USD 40/kgU,0
Brazil,Inferred,Recoverable,<USD 80/kgU,73500
Brazil,Inferred,Recoverable,<USD 130/kgU,120900
Brazil,Inferred,Recoverable,<USD 260/kgU,120900
Brazil,RAR,Recoverable,<USD 40/kgU,138100
Brazil,RAR,Recoverable,<USD 80/kgU,155900
Brazil,RAR,Recoverable,<USD 130/kgU,155900
Brazil,RAR,Recoverable,<USD 260/kgU,155900
Brazil,Inferred,in Situ,<USD 40/kgU,0
Brazil,Inferred,in Situ,<USD 80/kgU,104900
Brazil,Inferred,in Situ,<USD 130/kgU,172600
Brazil,Inferred,in Situ,<USD 260/kgU,172600
Canada,RAR,in Situ,<USD 40/kgU,0
Canada,RAR,in Situ,<USD 80/kgU,293100
Canada,RAR,in Situ,<USD 130/kgU,525100
Canada,RAR,in Situ,<USD 260/kgU,744400
Canada,RAR,Recoverable,<USD 40/kgU,0
Canada,RAR,Recoverable,<USD 80/kgU,282300
Canada,RAR,Recoverable,<USD 130/kgU,489700
Canada,RAR,Recoverable,<USD 260/kgU,649000
Canada,Inferred,in Situ,<USD 40/kgU,0
Canada,Inferred,in Situ,<USD 80/kgU,11500
Canada,Inferred,in Situ,<USD 130/kgU,113300
Canada,Inferred,in Situ,<USD 260/kgU,247900
Canada,Inferred,Recoverable,<USD 40/kgU,0
Canada,Inferred,Recoverable,<USD 80/kgU,10000
Canada,Inferred,Recoverable,<USD 130/kgU,98900
Canada,Inferred,Recoverable,<USD 260/kgU,216400
Central African Republic,Inferred,in Situ,<USD 40/kgU,0
Central African Republic,Inferred,in Situ,<USD 80/kgU,0
Central African Republic,Inferred,in Situ,<USD 130/kgU,0
Central African Republic,Inferred,in Situ,<USD 260/kgU,36500
Central African Republic,Inferred,Recoverable,<USD 40/kgU,0
Central African Republic,Inferred,Recoverable,<USD 80/kgU,0
Central African Republic,Inferred,Recoverable,<USD 130/kgU,0
Central African Republic,Inferred,Recoverable,<USD 260/kgU,29200
Chad,Inferred,in Situ,<USD 40/kgU,0
Chad,Inferred,in Situ,<USD 80/kgU,0
Chad,Inferred,in Situ,<USD 130/kgU,0
Chad,Inferred,in Situ,<USD 260/kgU,3200
Chad,Inferred,Recoverable,<USD 40/kgU,0
Chad,Inferred,Recoverable,<USD 80/kgU,0
Chad,Inferred,Recoverable,<USD 130/kgU,0
Chad,Inferred,Recoverable,<USD 260/kgU,2400
Chile,RAR,in Situ,<USD 40/kgU,0
Chile,RAR,in Situ,<USD 80/kgU,0
Chile,RAR,in Situ,<USD 130/kgU,0
Chile,RAR,in Situ,<USD 260/kgU,700
Chile,Inferred,in Situ,<USD 40/kgU,0
Chile,Inferred,in Situ,<USD 80/kgU,0
Chile,Inferred,in Situ,<USD 130/kgU,0
Chile,Inferred,in Situ,<USD 260/kgU,1200
Chile,Inferred,Recoverable,<USD 40/kgU,0
Chile,Inferred,Recoverable,<USD 80/kgU,0
Chile,Inferred,Recoverable,<USD 130/kgU,0
Chile,Inferred,Recoverable,<USD 260/kgU,900
Chile,RAR,Recoverable,<USD 40/kgU,0
Chile,RAR,Recoverable,<USD 80/kgU,0
Chile,RAR,Recoverable,<USD 130/kgU,0
Chile,RAR,Recoverable,<USD 260/kgU,600
China,RAR,in Situ,<USD 40/kgU,45400
China,RAR,in Situ,<USD 80/kgU,79100
China,RAR,in Situ,<USD 130/kgU,149800
China,RAR,in Situ,<USD 260/kgU,154500
China,Inferred,Recoverable,<USD 40/kgU,41400
China,Inferred,Recoverable,<USD 80/kgU,76900
China,Inferred,Recoverable,<USD 130/kgU,116400
China,Inferred,Recoverable,<USD 260/kgU,133600
China,RAR,Recoverable,<USD 40/kgU,31800
China,RAR,Recoverable,<USD 80/kgU,55600
China,RAR,Recoverable,<USD 130/kgU,107600
China,RAR,Recoverable,<USD 260/kgU,111100
China,Inferred,in Situ,<USD 40/kgU,59200
China,Inferred,in Situ,<USD 80/kgU,109100
China,Inferred,in Situ,<USD 130/kgU,162000
China,Inferred,in Situ,<USD 260/kgU,185000
Congo Dem Rep of,RAR,in Situ,<USD 40/kgU,0
Congo Dem Rep of,RAR,in Situ,<USD 80/kgU,0
Congo Dem Rep of,RAR,in Situ,<USD 130/kgU,0
Congo Dem Rep of,RAR,in Situ,<USD 260/kgU,1900
Congo Dem Rep of,RAR,Recoverable,<USD 40/kgU,0
Congo Dem Rep of,RAR,Recoverable,<USD 80/kgU,0
Congo Dem Rep of,RAR,Recoverable,<USD 130/kgU,0
Congo Dem Rep of,RAR,Recoverable,<USD 260/kgU,1400
Congo Dem Rep of,Inferred,in Situ,<USD 40/kgU,0
Congo Dem Rep of,Inferred,in Situ,<USD 80/kgU,0
Congo Dem Rep of,Inferred,in Situ,<USD 130/kgU,0
Congo Dem Rep of,Inferred,in Situ,<USD 260/kgU,1700
Congo Dem Rep of,Inferred,Recoverable,<USD 40/kgU,0
Congo Dem Rep of,Inferred,Recoverable,<USD 80/kgU,0
Congo Dem Rep of,Inferred,Recoverable,<USD 130/kgU,0
Congo Dem Rep of,Inferred,Recoverable,<USD 260/kgU,1300
Czech Republic,RAR,in Situ,<USD 40/kgU,0
Czech Republic,RAR,in Situ,<USD 80/kgU,0
Czech Republic,RAR,in Situ,<USD 130/kgU,1300
Czech Republic,RAR,in Situ,<USD 260/kgU,3800
Czech Republic,Inferred,in Situ,<USD 40/kgU,0
Czech Republic,Inferred,in Situ,<USD 80/kgU,0
Czech Republic,Inferred,in Situ,<USD 130/kgU,113500
Czech Republic,Inferred,in Situ,<USD 260/kgU,113500
Czech Republic,Inferred,Recoverable,<USD 40/kgU,0
Czech Republic,Inferred,Recoverable,<USD 80/kgU,0
Czech Republic,Inferred,Recoverable,<USD 130/kgU,0
Czech Republic,Inferred,Recoverable,<USD 260/kgU,68300
Czech Republic,RAR,Recoverable,<USD 40/kgU,0
Czech Republic,RAR,Recoverable,<USD 80/kgU,0
Czech Republic,RAR,Recoverable,<USD 130/kgU,800
Czech Republic,RAR,Recoverable,<USD 260/kgU,50800
Denmark/Greenland,RAR,in Situ,<USD 40/kgU,0
Denmark/Greenland,RAR,in Situ,<USD 80/kgU,0
Denmark/Greenland,RAR,in Situ,<USD 130/kgU,0
Denmark/Greenland,RAR,in Situ,<USD 260/kgU,102800
Denmark/Greenland,Inferred,Recoverable,<USD 40/kgU,0
Denmark/Greenland,Inferred,Recoverable,<USD 80/kgU,0
Denmark/Greenland,Inferred,Recoverable,<USD 130/kgU,0
Denmark/Greenland,Inferred,Recoverable,<USD 260/kgU,62600
Denmark/Greenland,RAR,Recoverable,<USD 40/kgU,0
Denmark/Greenland,RAR,Recoverable,<USD 80/kgU,0
Denmark/Greenland,RAR,Recoverable,<USD 130/kgU,0
Denmark/Greenland,RAR,Recoverable,<USD 260/kgU,51400
Denmark/Greenland,Inferred,in Situ,<USD 40/kgU,0
Denmark/Greenland,Inferred,in Situ,<USD 80/kgU,0
Denmark/Greenland,Inferred,in Situ,<USD 130/kgU,0
Denmark/Greenland,Inferred,in Situ,<USD 260/kgU,125100
Egypt,Inferred,Recoverable,<USD 40/kgU,0
Egypt,Inferred,Recoverable,<USD 80/kgU,0
Egypt,Inferred,Recoverable,<USD 130/kgU,400
Egypt,Inferred,Recoverable,<USD 260/kgU,1900
Egypt,Inferred,in Situ,<USD 40/kgU,0
Egypt,Inferred,in Situ,<USD 80/kgU,0
Egypt,Inferred,in Situ,<USD 130/kgU,500
Egypt,Inferred,in Situ,<USD 260/kgU,2500
Finland,RAR,Recoverable,<USD 40/kgU,0
Finland,RAR,Recoverable,<USD 80/kgU,0
Finland,RAR,Recoverable,<USD 130/kgU,1200
Finland,RAR,Recoverable,<USD 260/kgU,1200
Finland,RAR,in Situ,<USD 40/kgU,0
Finland,RAR,in Situ,<USD 80/kgU,0
Finland,RAR,in Situ,<USD 130/kgU,1500
Finland,RAR,in Situ,<USD 260/kgU,1500
Gabon,Inferred,Recoverable,<USD 40/kgU,0
Gabon,Inferred,Recoverable,<USD 80/kgU,0
Gabon,Inferred,Recoverable,<USD 130/kgU,0
Gabon,Inferred,Recoverable,<USD 260/kgU,1000
Gabon,RAR,Recoverable,<USD 40/kgU,0
Gabon,RAR,Recoverable,<USD 80/kgU,0
Gabon,RAR,Recoverable,<USD 130/kgU,4800
Gabon,RAR,Recoverable,<USD 260/kgU,4800
Gabon,RAR,in Situ,<USD 40/kgU,0
Gabon,RAR,in Situ,<USD 80/kgU,0
Gabon,RAR,in Situ,<USD 130/kgU,6400
Gabon,RAR,in Situ,<USD 260/kgU,6400
Gabon,Inferred,in Situ,<USD 40/kgU,0
Gabon,Inferred,in Situ,<USD 80/kgU,0
Gabon,Inferred,in Situ,<USD 130/kgU,0
Gabon,Inferred,in Situ,<USD 260/kgU,1300
Germany,Inferred,Recoverable,<USD 40/kgU,0
Germany,Inferred,Recoverable,<USD 80/kgU,0
Germany,Inferred,Recoverable,<USD 130/kgU,0
Germany,Inferred,Recoverable,<USD 260/kgU,4000
Germany,RAR,in Situ,<USD 40/kgU,0
Germany,RAR,in Situ,<USD 80/kgU,0
Germany,RAR,in Situ,<USD 130/kgU,0
Germany,RAR,in Situ,<USD 260/kgU,4000
Germany,Inferred,in Situ,<USD 40/kgU,0
Germany,Inferred,in Situ,<USD 80/kgU,0
Germany,Inferred,in Situ,<USD 130/kgU,0
Germany,Inferred,in Situ,<USD 260/kgU,5300
Germany,RAR,Recoverable,<USD 40/kgU,0
Germany,RAR,Recoverable,<USD 80/kgU,0
Germany,RAR,Recoverable,<USD 130/kgU,0
Germany,RAR,Recoverable,<USD 260/kgU,3000
Greece,Inferred,Recoverable,<USD 40/kgU,0
Greece,Inferred,Recoverable,<USD 80/kgU,0
Greece,Inferred,Recoverable,<USD 130/kgU,0
Greece,Inferred,Recoverable,<USD 260/kgU,6000
Greece,Inferred,in Situ,<USD 40/kgU,0
Greece,Inferred,in Situ,<USD 80/kgU,0
Greece,Inferred,in Situ,<USD 130/kgU,0
Greece,Inferred,in Situ,<USD 260/kgU,8000
Greece,RAR,Recoverable,<USD 40/kgU,0
Greece,RAR,Recoverable,<USD 80/kgU,0
Greece,RAR,Recoverable,<USD 130/kgU,0
Greece,RAR,Recoverable,<USD 260/kgU,1000
Greece,RAR,in Situ,<USD 40/kgU,0
Greece,RAR,in Situ,<USD 80/kgU,0
Greece,RAR,in Situ,<USD 130/kgU,0
Greece,RAR,in Situ,<USD 260/kgU,1300
Guyana,Inferred,Recoverable,<USD 40/kgU,0
Guyana,Inferred,Recoverable,<USD 80/kgU,0
Guyana,Inferred,Recoverable,<USD 130/kgU,0
Guyana,Inferred,Recoverable,<USD 260/kgU,2200
Guyana,RAR,Recoverable,<USD 40/kgU,0
Guyana,RAR,Recoverable,<USD 80/kgU,0
Guyana,RAR,Recoverable,<USD 130/kgU,0
Guyana,RAR,Recoverable,<USD 260/kgU,2400
Guyana,RAR,in Situ,<USD 40/kgU,0
Guyana,RAR,in Situ,<USD 80/kgU,0
