Country,<USD 40/kgU,<USD 80/kgU,<USD 130/kgU,<USD 260/kgU
Algeria,0.0,0.0,0.0,26000.0
Argentina,3200.0,25800.0,46100.0,47500.0
Australia,,,2608400.0,3061400.0
Bolivia,0.0,0.0,0.0,1700.0
Botswana,0.0,0.0,140600.0,140600.0
Brazil,184300.0,314600.0,382300.0,382300.0
Canada,0.0,304600.0,638400.0,992300.0
Central African Republic,0.0,0.0,0.0,36500.0
Chad,0.0,0.0,0.0,3200.0
Chile,0.0,0.0,0.0,1900.0
China,104600.0,188100.0,311800.0,339500.0
Congo Dem Rep of,0.0,0.0,0.0,3600.0
Czech Republic,0.0,0.0,1300.0,197300.0
Denmark/Greenland,0.0,0.0,0.0,228000.0
Egypt,0.0,0.0,500.0,2500.0
Finland,0.0,0.0,1500.0,7500.0
Gabon,0.0,0.0,6400.0,7700.0
Germany,0.0,0.0,0.0,9300.0
Greece,0.0,0.0,0.0,9300.0
Guyana,0.0,0.0,0.0,6200.0
Hungary,0.0,0.0,0.0,22200.0
India,,,,292900.0
Indonesia,2000.0,11500.0,11500.0,
Iran Islamic Rep of,0.0,0.0,9900.0,9900.0
Italy,0.0,8100.0,8100.0,8100.0
Japan,0.0,0.0,7800.0,7800.0
Jordan,0.0,0.0,70000.0,70000.0
Kazakhstan,564000.0,823100.0,919300.0,991000.0
Malawi,0.0,0.0,11800.0,21300.0
Mali,0.0,0.0,11800.0,11800.0
Mauritania,0.0,0.0,21800.0,311600.0
Mexico,0.0,0.0,4900.0,6700.0
Mongolia,22500.0,192200.0,192200.0,
Namibia,24600.0,587600.0,636900.0,
Niger,18000.0,384100.0,586000.0,
Paraguay,0.0,0.0,4400.0,4400.0
Peru,0.0,47400.0,47400.0,47400.0
Portugal,0.0,0.0,5600.0,5600.0
Romania,0.0,0.0,8800.0,8800.0
Russia,0.0,46600.0,590200.0,840900.0
Senegal,0.0,0.0,1500.0,1500.0
Slovak Republic,0.0,15800.0,19300.0,19300.0
Slovenia,0.0,7200.0,12200.0,12200.0
Somalia,0.0,0.0,0.0,10200.0
South Africa,0.0,311600.0,436900.0,612000.0
Spain,9800.0,34400.0,34400.0,34400.0
Sweden,0.0,0.0,12800.0,12800.0
Tanzania,0.0,58800.0,72800.0,72800.0
Turkey,0.0,15300.0,15300.0,16700.0
Ukraine,0.0,82000.0,121900.0,211100.0
United States,0.0,12000.0,79400.0,149500.0
Uzbekistan,65200.0,65200.0,170300.0,170300.0
Viet Nam,0.0,0.0,0.0,5200.0
Zambia,0.0,0.0,34300.0,34300.0
Zimbabwe,0.0,0.0,0.0,1800.0
