Country,<USD 40/kgU,<USD 80/kgU,<USD 130/kgU,<USD 260/kgU
Argentina,2400.0,12300.0,23800.0,24800.0
Australia,,,445400.0,642000.0
Bolivia,0.0,0.0,0.0,1400.0
Botswana,0.0,0.0,66800.0,66800.0
Brazil,0.0,73500.0,120900.0,120900.0
Canada,0.0,10000.0,98900.0,216400.0
Central African Republic,0.0,0.0,0.0,29200.0
Chad,0.0,0.0,0.0,2400.0
Chile,0.0,0.0,0.0,900.0
China,41400.0,76900.0,116400.0,133600.0
Congo Dem Rep of,0.0,0.0,0.0,1300.0
Czech Republic,0.0,0.0,0.0,68300.0
Denmark/Greenland,0.0,0.0,0.0,62600.0
Egypt,0.0,0.0,400.0,1900.0
Gabon,0.0,0.0,0.0,1000.0
Germany,0.0,0.0,0.0,4000.0
Greece,0.0,0.0,0.0,6000.0
Guyana,0.0,0.0,0.0,2200.0
Hungary,,,,8000.0
India,,,,8000.0
Indonesia,0.0,0.0,3000.0,3000.0
Iran Islamic Rep of,0.0,0.0,4200.0,4200.0
Italy,0.0,1300.0,1300.0,1300.0
Jordan,0.0,0.0,46500.0,46500.0
Kazakhstan,250000.0,415700.0,447500.0,487300.0
Malawi,0.0,0.0,1800.0,4300.0
Mali,0.0,0.0,3900.0,3900.0
Mauritania,0.0,0.0,12300.0,19300.0
Mexico,0.0,0.0,1800.0,3200.0
Mongolia,0.0,9300.0,78400.0,78400.0
Namibia,0.0,7900.0,162900.0,186700.0
Niger,0.0,53600.0,133200.0,
Paraguay,0.0,0.0,1400.0,1400.0
Peru,0.0,19400.0,19400.0,19400.0
Portugal,0.0,0.0,800.0,800.0
Romania,0.0,3600.0,3600.0,3600.0
Russia,0.0,14400.0,274500.0,405000.0
Senegal,0.0,0.0,1100.0,1100.0
Slovak Republic,0.0,3900.0,6700.0,6700.0
Slovenia,0.0,3800.0,7500.0,7500.0
Somalia,0.0,0.0,2600.0,2600.0
South Africa,0.0,61700.0,84800.0,189000.0
Spain,0.0,9400.0,9400.0,9400.0
Sweden,0.0,0.0,4700.0,4700.0
Tanzania,0.0,8500.0,18500.0,18500.0
Turkey,0.0,8700.0,9700.0,9700.0
Ukraine,0.0,26700.0,33300.0,64800.0
Uzbekistan,24900.0,24900.0,82100.0,82100.0
Viet Nam,0.0,0.0,0.0,900.0
Zambia,0.0,0.0,12800.0,12800.0
Zimbabwe,0.0,0.0,0.0,0.0
