Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Afghanistan,5362,Khanneshin,Intrusive,Plutonic,≥2500 - <5000,≥0.01 - <0.05
Algeria,1,Abankor,Metamorphite,Structurally-controlled,≥5000 - <10000,≥0.20 - <0.50
Algeria,5363,Bled el Hadba,Phosphate,Minerochemical phosphorite,≥25000 - <50000,>0 - <0.01
Algeria,2,Daira South,Metamorphite,Structurally-controlled,≥1000 - <2500,≥0.10 - <0.20
Algeria,5364,Djemidjema,Phosphate,Minerochemical phosphorite,≥25000 - <50000,>0 - <0.01
Algeria,5365,Kef es Sennoun,Phosphate,Minerochemical phosphorite,≥10000 - <25000,>0 - <0.01
Algeria,3,Tahaggart,Surficial,Lacustrine-playa,≥1000 - <2500,≥0.20 - <0.50
Algeria,4,Timgaouine,Granite-related,Endogranitic,≥10000 - <25000,≥0.20 - <0.50
Algeria,5,Tinef,Metamorphite,Structurally-controlled,≥10000 - <25000,≥0.05 - <0.10
Angola,5366,Cabinda Province,Phosphate,Minerochemical phosphorite,≥25000 - <50000,>0 - <0.01
Argentina,4423,Agua De Los Pájaros,Granite-related,Perigranitic,>0 - <25,≥0.01 - <0.05
Argentina,4430,Alipan,Granite-related,Perigranitic,≥1000 - <2500,≥0.05 - <0.10
Argentina,7131,Anit,Sandstone,Basal Channel,≥1000 - <2500,≥0.01 - <0.05
Argentina,7132,Catriel,Sandstone,Rollfront,≥5000 - <10000,≥0.10 - <0.20
Argentina,4533,Cerro Áspero,Granite-related,Endogranitic,≥300 - <1000,≥0.01 - <0.05
Argentina,4534,Cerro Cóndor,Sandstone,Basal Channel,≥25 - <300,≥0.05 - <0.10
Argentina,6,Cerro Solo,Sandstone,Basal Channel,≥5000 - <10000,≥0.20 - <0.50
Argentina,1753,Cueva Del Chaco 1,Sandstone,Rollfront,≥25 - <300,≥0.05 - <0.10
Argentina,2003,Cueva Del Chaco 2,Sandstone,Rollfront,≥25 - <300,≥0.05 - <0.10
Argentina,2004,Cueva Del Chaco 3,Sandstone,Rollfront,≥25 - <300,≥0.05 - <0.10
Argentina,7890,Don Alberto,Granite-related,Endogranitic,≥25 - <300,≥0.01 - <0.05
Argentina,7,Don Otto,Sandstone,Tabular,≥300 - <1000,≥0.10 - <0.20
Argentina,7891,Don Vicente,Granite-related,Endogranitic,≥25 - <300,≥0.01 - <0.05
Argentina,2005,El Salto,Sandstone,Rollfront,≥25 - <300,≥0.01 - <0.05
Argentina,2043,Gaucho I-II,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.05 - <0.10
Argentina,4349,Graben,Sandstone,Tabular,≥2500 - <5000,≥0.01 - <0.05
Argentina,1768,Guanaco,Surficial,Lacustrine-playa,≥2500 - <5000,>0 - <0.01
Argentina,9,Huemul,Sandstone,Tabular,≥300 - <1000,≥0.10 - <0.20
Argentina,7892,Humberto,Surficial,,≥25 - <300,≥0.01 - <0.05
Argentina,5445,Ivana,Sandstone,Tabular,≥5000 - <10000,≥0.01 - <0.05
Argentina,2044,La Caverna,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.01 - <0.05
Argentina,4809,La Chinchilla,Intrusive,Plutonic,≥300 - <1000,≥0.01 - <0.05
Argentina,10,La Estela (La Marquesa),Granite-related,Endogranitic,≥1000 - <2500,≥0.05 - <0.10
Argentina,4813,La Morenita,Granite-related,Endogranitic,>0 - <25,≥0.01 - <0.05
Argentina,4814,La Negra,Granite-related,Endogranitic,≥300 - <1000,≥0.10 - <0.20
Argentina,2056,La Pintada,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.05 - <0.10
Argentina,2045,La Rosada,Surficial,Lacustrine-playa,≥25 - <300,≥0.05 - <0.10
Argentina,2046,La Suzana,Surficial,Lacustrine-playa,≥25 - <300,≥0.05 - <0.10
Argentina,2047,La Terraza,Volcanic-related,Volcano-sedimentary,≥2500 - <5000,≥0.05 - <0.10
Argentina,1769,Lago Seco,Surficial,Lacustrine-playa,≥300 - <1000,≥0.01 - <0.05
Argentina,5281,Laguna Colorada,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.05 - <0.10
Argentina,1506,Laguna Sirven,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Argentina,7893,Las Penas,Surficial,,>0 - <25,≥0.01 - <0.05
Argentina,1321,Las Termas,Granite-related,Perigranitic,≥1000 - <2500,≥0.20 - <0.50
Argentina,7894,Las Toscas,Surficial,,≥25 - <300,≥0.01 - <0.05
Argentina,4842,Los Adobes,Sandstone,Basal Channel,≥25 - <300,≥0.10 - <0.20
Argentina,1322,Los Berthos,Sandstone,Tabular,≥300 - <1000,≥0.10 - <0.20
Argentina,2048,Los Chañares,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.05 - <0.10
Argentina,2006,Los Colorados ,Sandstone,Rollfront,≥25 - <300,≥0.01 - <0.05
Argentina,4844,Los Europeos,Granite-related,Endogranitic,>0 - <25,≥0.01 - <0.05
Argentina,2049,Los Reyunos,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.05 - <0.10
Argentina,7133,Lucero,Granite-related,Perigranitic,≥300 - <1000,≥0.05 - <0.10
Argentina,4880,Martín Miguel De Güemes,Sandstone,Tabular,≥25 - <300,≥0.05 - <0.10
Argentina,2050,Media Luna I-II,Volcanic-related,Volcano-sedimentary,≥1000 - <2500,≥0.05 - <0.10
Argentina,2051,Media Luna III-IV,Volcanic-related,Volcano-sedimentary,≥300 - <1000,≥0.01 - <0.05
Argentina,5000,Plateau East,Sandstone,Tabular,≥300 - <1000,≥0.01 - <0.05
Argentina,4409,Plateau West,Sandstone,Tabular,≥2500 - <5000,≥0.01 - <0.05
Argentina,5036,Quebrada El León,Sandstone,Tectonic-lithologic,≥25 - <300,≥0.05 - <0.10
Argentina,1754,Rodeo De Los Molles,Intrusive,Plutonic,≥1000 - <2500,≥0.01 - <0.05
Argentina,11,Rodolfo,Sandstone,Tabular,≥2500 - <5000,≥0.01 - <0.05
Argentina,7134,San Santiago,Metamorphite,Structurally-controlled,>0 - <25,≥0.50 - <1.00
Argentina,7135,San Sebastián,Granite-related,Perigranitic,>0 - <25,≥0.05 - <0.10
Argentina,7136,Santa Bárbara,Sandstone,Basal Channel,≥1000 - <2500,≥0.01 - <0.05
Argentina,12,Schlagintweit,Granite-related,Endogranitic,≥1000 - <2500,≥0.01 - <0.05
Argentina,7137,Sierra Cuadrada,Sandstone,Tabular,≥300 - <1000,≥0.01 - <0.05
Argentina,7138,Sirven,Surficial,Fluvial valley,≥2500 - <5000,>0 - <0.01
Argentina,2052,Sondeo Xc Iii,Volcanic-related,Volcano-sedimentary,≥25 - <300,≥0.10 - <0.20
Argentina,2053,Terraza North,Volcanic-related,Volcano-sedimentary,≥2500 - <5000,≥0.05 - <0.10
Argentina,2054,Tigre I,Volcanic-related,Volcano-sedimentary,≥5000 - <10000,≥0.05 - <0.10
Argentina,2055,Tigre III,Volcanic-related,Volcano-sedimentary,≥300 - <1000,≥0.05 - <0.10
Argentina,5213,Urcal,Carbonate,Structurally-controlled,≥25 - <300,≥0.20 - <0.50
Argentina,1324,Urcushún,Metasomatite,Skarn,≥300 - <1000,≥0.05 - <0.10
Argentina,7895,Verde I-II-III,Surficial,,≥25 - <300,≥0.01 - <0.05
Armenia,7139,Pkhrut,Granite-related,Perigranitic,≥300 - <1000,≥0.10 - <0.20
Australia,4420,ABC,Volcanic-related,Structurally-controlled,>0 - <25,≥0.20 - <0.50
Australia,2011,Adelaide River,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.20 - <0.50
Australia,1543,Ambassador,Sandstone,Tabular,≥10000 - <25000,≥0.05 - <0.10
Australia,13,Andersons Lode,Metasomatite,Na-metasomatite,≥1000 - <2500,≥0.10 - <0.20
Australia,14,Angela,Sandstone,Tabular,≥10000 - <25000,≥0.10 - <0.20
Australia,15,Angelo River A,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.10 - <0.20
Australia,7062,Angelo River B,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.01 - <0.05
Australia,2012,Angularli,Proterozoic unconformity,Unconformity-contact,≥5000 - <10000,≥1.00 - <5.00
Australia,1651,Anketell,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Australia,4439,Anomaly 15 East,Sandstone,Tabular,≥25 - <300,≥0.10 - <0.20
Australia,16,Armchair-Streitberg Ridge,Polymetallic iron oxide breccia complex,,≥1000 - <2500,≥0.05 - <0.10
Australia,1586,Bambino,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.01 - <0.05
Australia,2013,Beatrice,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.20 - <0.50
Australia,4467,Bellah Bore East,Surficial,Fluvial valley,≥25 - <300,≥0.01 - <0.05
Australia,17,Ben Lomond,Volcanic-related,Structurally-controlled,≥2500 - <5000,≥0.10 - <0.20
Australia,18,Bennet Well,Sandstone,Rollfront,≥10000 - <25000,≥0.01 - <0.05
Australia,4469,Bentley Greenwood,Polymetallic iron oxide breccia complex,,≥300 - <1000,≥0.05 - <0.10
Australia,19,Beverley,Sandstone,Basal Channel,≥10000 - <25000,≥0.10 - <0.20
Australia,20,Bigrlyi,Sandstone,Rollfront,≥10000 - <25000,≥0.10 - <0.20
Australia,4477,Bigwest,Sandstone,Tabular,≥25 - <300,≥0.01 - <0.05
Australia,1791,Bikini,Metasomatite,Na-metasomatite,≥5000 - <10000,≥0.01 - <0.05
Australia,2007,Billeroo,Sandstone,Rollfront,≥2500 - <5000,≥0.01 - <0.05
Australia,1327,Blackbush,Sandstone,Tabular,≥10000 - <25000,≥0.01 - <0.05
Australia,2008,Brooks Dam,Sandstone,Rollfront,≥1000 - <2500,≥0.05 - <0.10
Australia,4518,Camel Flat,Sandstone,Tabular,≥25 - <300,≥0.10 - <0.20
Australia,1652,Cappers,Surficial,Fluvial valley,≥2500 - <5000,≥0.01 - <0.05
Australia,21,Caramal,Proterozoic unconformity,Basement-hosted,≥1000 - <2500,≥0.20 - <0.50
Australia,1694,Carley Bore,Sandstone,Tabular,≥5000 - <10000,≥0.01 - <0.05
Australia,1755,Carrapateena,Polymetallic iron oxide breccia complex,,≥50000 - <100000,≥0.01 - <0.05
Australia,22,Centipede-Millipede,Surficial,Lacustrine-playa,≥5000 - <10000,≥0.01 - <0.05
Australia,1296,Central 50,Volcanic-related,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Australia,4552,Citation-Mighty Glare,Metasomatite,Na-metasomatite,≥25 - <300,≥0.01 - <0.05
Australia,4555,Cleo,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.01 - <0.05
Australia,4556,Cliff South,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.05 - <0.10
Australia,2028,Cobar 2,Volcanic-related,Structurally-controlled,>0 - <25,≥0.20 - <0.50
Australia,7063,Cogla Downs,Surficial,Fluvial valley,≥25 - <300,≥0.01 - <0.05
Australia,23,Coronation Hill,Proterozoic unconformity,Basement-hosted,≥1000 - <2500,≥0.20 - <0.50
Australia,24,Crocker Well,Intrusive,Anatectic pegmatite-alaskite,≥5000 - <10000,≥0.01 - <0.05
Australia,1587,Cummins Range,Intrusive,Plutonic,≥300 - <1000,≥0.01 - <0.05
Australia,25,Dam,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.10 - <0.20
Australia,1317,Dawson-Hinkler,Surficial,Fluvial valley,≥2500 - <5000,≥0.01 - <0.05
Australia,1508,Double 8,Sandstone,Basal Channel,≥10000 - <25000,≥0.01 - <0.05
Australia,1318,Duke Batman,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.10 - <0.20
Australia,26,Dyson's,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.20 - <0.50
Australia,1329,E1 North & South,Polymetallic iron oxide breccia complex,,≥2500 - <5000,≥0.01 - <0.05
Australia,27,East Kalkaroo,Sandstone,Rollfront,≥300 - <1000,≥0.05 - <0.10
Australia,2014,El Sherana,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.20 - <0.50
Australia,2015,El Sherana West,Proterozoic unconformity,Basement-hosted,≥25 - <300,≥0.50 - <1.00
Australia,2010,Elaine-Dorothy,Metasomatite,Na-metasomatite,≥25 - <300,≥0.05 - <0.10
Australia,4620,Eldorado North,Metasomatite,Na-metasomatite,≥25 - <300,≥0.01 - <0.05
Australia,1544,Emperor,Sandstone,Tabular,≥10000 - <25000,≥0.01 - <0.05
Australia,4297,Ernest Henry,Polymetallic iron oxide breccia complex,,≥10000 - <25000,>0 - <0.01
Australia,1756,Eva,Volcanic-related,Structurally-controlled,≥300 - <1000,≥0.10 - <0.20
Australia,1330,Four Mile West,Sandstone,Basal Channel,≥10000 - <25000,≥0.20 - <0.50
Australia,1316,Four Mile East,Sandstone,Basal Channel,≥10000 - <25000,≥0.20 - <0.50
Australia,2009,Four Mile North-East,Sandstone,Rollfront,≥10000 - <25000,≥0.20 - <0.50
Australia,29,Goulds Dam,Sandstone,Rollfront,≥5000 - <10000,≥0.01 - <0.05
Australia,30,Hades Flat,Proterozoic unconformity,Basement-hosted,≥300 - <1000,≥0.10 - <0.20
Australia,5368,Highway,Sandstone,Basal Channel,≥300 - <1000,≥0.01 - <0.05
Australia,4691,Hill One,Sandstone,Tabular,≥25 - <300,≥0.01 - <0.05
Australia,1331,Hillview,Surficial,Fluvial valley,≥2500 - <5000,≥0.01 - <0.05
Australia,31,Hodgkinson,Polymetallic iron oxide breccia complex,,≥300 - <1000,≥0.20 - <0.50
Australia,1332,Honey Pot,Metasomatite,Na-metasomatite,≥1000 - <2500,≥0.05 - <0.10
Australia,32,Honeymoon,Sandstone,Rollfront,≥10000 - <25000,≥0.05 - <0.10
Australia,7064,Hospital Prospect,Metamorphite,Structurally-controlled,>0 - <25,≥0.05 - <0.10
Australia,4700,Houghton Prospect,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.01 - <0.05
Australia,33,Huarabagoo,Sandstone,Mafic dykes and sills in Proterozoic sandstone,≥2500 - <5000,≥0.05 - <0.10
Australia,4712,Inglewood Prospect,Metasomatite,Na-metasomatite,>0 - <25,≥0.05 - <0.10
Australia,34,Jabiluka 1,Proterozoic unconformity,Basement-hosted,≥2500 - <5000,≥0.20 - <0.50
Australia,951,Jabiluka 2,Proterozoic unconformity,Basement-hosted,≥100000 - <1000000,≥0.20 - <0.50
Australia,980,Jailor Bore,Surficial,Fluvial valley,≥300 - <1000,≥0.01 - <0.05
Australia,4717,Jason,Sandstone,Rollfront,≥2500 - <5000,≥0.05 - <0.10
Australia,1792,Jindarra,Sandstone,Rollfront,≥300 - <1000,≥0.01 - <0.05
Australia,35,Junnagunna,Sandstone,Tabular,≥2500 - <5000,≥0.05 - <0.10
Australia,4743,Karins,Sandstone,Tabular,≥300 - <1000,≥0.01 - <0.05
Australia,4286,Khamsin,Polymetallic iron oxide breccia complex,,≥10000 - <25000,>0 - <0.01
Australia,36,Kintyre,Proterozoic unconformity,Basement-hosted,≥10000 - <25000,≥0.20 - <0.50
Australia,2016,Koolpin Creek,Proterozoic unconformity,Basement-hosted,>0 - <25,≥0.10 - <0.20
Australia,37,Koongarra 1,Proterozoic unconformity,Basement-hosted,≥10000 - <25000,≥0.50 - <1.00
Australia,950,Koongarra 2,Proterozoic unconformity,Basement-hosted,≥1000 - <2500,≥0.20 - <0.50
Australia,2026,Lake Austin,Surficial,Lacustrine-playa,≥25 - <300,≥0.01 - <0.05
Australia,38,Lake Maitland,Surficial,Lacustrine-playa,≥10000 - <25000,≥0.01 - <0.05
Australia,39,Lake Mason,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Australia,40,Lake Raeside,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Australia,41,Lake Way,Surficial,Fluvial valley,≥2500 - <5000,≥0.01 - <0.05
Australia,7065,Lake Way South,Surficial,Fluvial valley,≥25 - <300,≥0.01 - <0.05
Australia,4820,Lakeside,Surficial,Fluvial valley,≥1000 - <2500,≥0.01 - <0.05
Australia,4840,Lomax Prospect,Metamorphite,Stratabound,≥300 - <1000,≥0.05 - <0.10
Australia,4852,Lyndon,Surficial,Fluvial valley,≥300 - <1000,≥0.05 - <0.10
Australia,6719,Malawiri,Sandstone,Rollfront,≥300 - <1000,≥0.10 - <0.20
Australia,43,Manyingee,Sandstone,Rollfront,≥5000 - <10000,≥0.05 - <0.10
Australia,7066,Manyingee East,Sandstone,Rollfront,≥1000 - <2500,≥0.01 - <0.05
Australia,44,Mary Kathleen,Metasomatite,Skarn,≥10000 - <25000,≥0.10 - <0.20
Australia,45,Maureen,Volcanic-related,Stratabound,≥2500 - <5000,≥0.05 - <0.10
Australia,1943,Milo,Polymetallic iron oxide breccia complex,,≥5000 - <10000,>0 - <0.01
Australia,4899,Minindi Creek,Surficial,Fluvial valley,≥300 - <1000,≥0.01 - <0.05
Australia,7067,Minindii-Mooloo Downs,Surficial,Fluvial valley,≥300 - <1000,≥0.01 - <0.05
Australia,1841,Mirrioola,Metasomatite,Na-metasomatite,≥300 - <1000,≥0.01 - <0.05
Australia,7068,Mount Burton,Proterozoic unconformity,Basement-hosted,>0 - <25,≥0.10 - <0.20
