Ano,ARGENTINA,ARMENIA,BELARUS,BELGIUM,BRAZIL,BULGARIA,CANADA,CHINA,CZECH REPUBLIC,FINLAND,FRANCE,GERMANY,HUNGARY,INDIA,"IRAN, ISLAMIC REPUBLIC OF",ITALY,JAPAN,KAZAKHSTAN,"KOREA, REPUBLIC OF",LITHUANIA,MEXICO,"NETHERLANDS, KINGDOM OF THE",PAKISTAN,ROMANIA,RUSSIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,"TAIWAN, CHINA",UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED STATES OF AMERICA
1970,,,,,,,,,,,,,,,,,3263,,,,,,,,,,,,,,,,,,,18376
1971,,,,,,,3210,,,,4868,3718,,,,930,3804,,,,,,,,,,,,1600,,-34,,,,4400,19046
1972,,,,,,,3045,,,,5309,3106,,,,261,1603,,,,,-79,229,,1708,,,,2179,1328,2969,,,,3320,16446
1973,,,,,,,7491,,,,-731,2183,,1354,,-643,390,,,,,647,162,,3689,,,,1565,597,1005,,,,-6939,20508
1975,1410,,,6246,,1119,-2053,,,,3424,9130,,354,,392,2853,,,,,-97,-89,,2046,-179,,,316,9302,661,,,,-2748,55202
1976,50,,,3177,,2552,4347,,,,-2509,2197,,644,,-20,14365,,,,,517,-7,,6505,165,,,-93,4045,173,,,,3390,20018
1977,-871,,,1762,,845,3918,,,,2334,11140,,-483,,-255,-8301,,,,,-178,-147,,6261,-211,,,-878,3716,161,,,,2979,56891
1978,1174,,,550,,29,8473,,,573,11799,-189,,-372,,844,20411,,,,,329,-110,,3003,-68,,,1056,3731,264,,4844,,-3608,28227
1979,-208,,,-1053,,255,6370,,,3287,8899,5954,,865,,-1698,12341,,808,,,-549,-198,,3861,1933,,,-908,-2605,3250,,672,,3944,-20027
1980,-323,,,1035,,-23,2309,,,316,19393,1671,,-333,,-383,19766,,306,,,691,38,,11373,2578,,,-1411,5278,2396,,355,,-917,-4166
1981,467,,,345,,2727,2735,,,7122,42740,9270,,112,,440,2190,,-550,,,-523,124,,8493,209,,,4152,9186,777,,1395,,1551,22165
1982,-894,,,2618,,1496,-119,,,2022,3289,9455,,-805,,4050,19670,,1156,,,240,-121,,7792,682,2124,,-839,2687,-16,,6029,,4911,8737
1983,1417,,,8087,110,1452,8165,,,880,33819,2395,2295,474,,-1018,3125,,2094,,,-312,123,,9017,286,1336,,1862,1777,409,,3310,,4968,11426
1984,1061,,,3472,1382,410,4111,,,1092,44807,25263,1217,1099,,1043,17117,,5057,,,127,96,,10860,997,483,,11936,9543,323,,7847,,3777,30028
1985,1015,,,2865,1623,373,6555,,,180,31320,31765,2581,215,,-172,24159,,1341,4091,,181,-28,,8317,1997,-362,1444,4739,7282,6159,,10841,,6203,56696
1986,17,,,8089,-3037,-1001,10674,,3737,20,27891,-7471,882,611,,1990,13978,,7367,391,,294,214,,6966,2185,-23,3433,9013,11073,63,,-2328,,-3773,21185
1987,716,,,2511,778,344,5076,,4248,533,10471,11700,3344,246,,-8288,21840,,16190,29,,-619,-201,,25204,-194,456,-2610,3714,-2431,421,,19160,,-495,42727
1988,-614,-326,,982,-343,3246,5199,,1068,-84,8894,9940,2299,681,,-159,-13682,,-264,2534,,102,-103,,-3350,-23,-343,4299,8698,1837,-208,,14733,,5683,76942
1989,-709,-3227,,-1695,1128,-1275,-2321,,573,-439,28778,18162,423,-1942,,0,11116,,7331,3663,,320,-110,,2177,641,518,601,5504,-3624,60,,-5307,,8283,8821
1990,2064,,,1452,360,30,-8228,,143,119,8286,-12550,-155,1824,,0,8565,,7282,330,2464,-489,315,,-9640,-141,-67,-2651,-1783,2522,787,4442,9195,,-4655,49510
1991,497,,,85,-748,-1358,13199,,-623,277,18183,-834,11,-751,,,13124,,3299,-87,1286,-153,-5,,1499,-303,331,702,1395,8247,-672,2334,-852,,4277,35673
1992,-636,,,581,200,-1523,-6675,,1108,-236,6647,11317,1059,1031,,,8228,,315,-2268,-315,105,129,,-99,189,-950,131,-279,-12712,479,-1407,2560,,6939,6281
1993,592,,,-1416,-1103,1786,14611,,377,630,27970,-5250,-167,-591,,,29288,-19,1564,-2308,977,513,-130,,-705,-863,-4,-1990,705,-2009,-87,515,-2709,,9915,-8139
1994,632,,,-1185,-361,1706,12518,11566,349,-467,-8291,-1486,-567,-601,,,9723,-66,188,-4409,-662,-22,154,,-20278,1026,640,2379,-730,11494,918,494,-6036,,-163,30153
1995,-1240,,,652,2292,2101,-9539,-1176,-746,-204,16597,3009,-27,2608,,,27958,-294,4582,4009,3471,45,-62,,1557,140,164,1597,425,-3117,532,317,1560,,-9104,31467
1996,361,,,1927,-44,585,-4716,1472,-181,550,18966,7411,207,468,,,9372,6,10119,2028,-422,133,-150,,9358,-90,-206,470,675,4334,214,2535,8482,,-374,1667
1997,526,-668,,3627,701,-367,-10220,814,445,1371,-1189,7820,-260,1575,,,23188,213,2928,-1813,2913,-3846,75,3766,-548,-464,432,869,-1075,-4510,288,-1287,536,,13783,-45218
1998,-527,-13,,-899,103,-946,-10746,-968,-142,925,-7111,-8263,-24,1101,,,5782,-211,11961,1435,-1199,,-32,-44,-4558,-306,0,954,3594,3479,368,362,-4008,,-994,45477
