Ano,Anos,Produção,Demanda,Estoque,Estoque Acumulado,Estoque/Demanda,Anos de estoque
01/01/1945,1945,704,1,704,704,704,null
01/01/1946,1946,845,1,845,1549,1549,null
01/01/1947,1947,1550,1,1550,3099,3099,null
01/01/1948,1948,2254,1,2254,5353,5353,null
01/01/1949,1949,3523,1,3523,8876,8876,null
01/01/1950,1950,7188,1,7188,16064,16064,null
01/01/1951,1951,6384,1,6384,22448,22448,null
01/01/1952,1952,8174,1,8174,30622,30622,null
01/01/1953,1953,11840,1,11840,42462,42462,null
01/01/1954,1954,14924,1,14924,57386,57386,null
01/01/1955,1955,18183,842,17341,74727,"8,874,940,618",null
01/01/1956,1956,24950,560,24390,99117,"1,769,946,429",null
01/01/1957,1957,32061,842,31219,130336,"1,547,933,492",null
01/01/1958,1958,40740,841,39899,170235,"2,024,197,384",null
01/01/1959,1959,47507,841,46666,216901,"2,579,084,423",null
01/01/1960,1960,46158,1687,44471,261372,"1,549,330,172",null
01/01/1961,1961,41444,1545,39899,301271,"194,997,411",null
01/01/1962,1962,40739,2109,38630,339901,"1,611,669,037",null
01/01/1963,1963,38677,3660,35017,374918,"102,436,612",null
01/01/1964,1964,35945,4787,31158,406076,"8,482,891,164",null
01/01/1965,1965,31433,5210,26223,432299,"8,297,485,605",null
01/01/1966,1966,32892,5069,27823,460122,"9,077,174,985",null
01/01/1967,1967,34534,7324,27210,487332,"665,390,497",null
01/01/1968,1968,36649,9720,26929,514261,"5,290,751,029",null
01/01/1969,1969,36195,12258,23937,538198,"439,058,574",null
01/01/1970,1970,37776,14090,23686,561884,"398,782,115",null
01/01/1971,1971,38481,15500,22981,584865,"3,773,322,581",null
01/01/1972,1972,40433,16487,23946,608811,"3,692,673,015",null
01/01/1973,1973,41441,17755,23686,632497,"3,562,359,899",null
01/01/1974,1974,40876,18460,22416,654913,"3,547,741,062",null
01/01/1975,1975,42948,19728,23220,678133,"3,437,413,828",null
01/01/1976,1976,50897,23253,27644,705777,"303,520,836",null
01/01/1977,1977,53987,25367,28620,734397,"2,895,088,107",null
01/01/1978,1978,59645,26918,32727,767124,"2,849,855,116",null
01/01/1979,1979,63432,29314,34118,801242,"2,733,308,317",null
01/01/1980,1980,69213,28750,40463,841705,"2,927,669,565",null
01/01/1981,1981,69222,29596,39626,881331,"297,787,201",null
01/01/1982,1982,64184,31569,32615,913946,"2,895,074,282",null
01/01/1983,1983,61458,34811,26647,940593,"2,701,999,368",null
01/01/1984,1984,63238,42142,21096,961689,"2,282,020,312",null
01/01/1985,1985,60047,40732,19315,981004,"2,408,435,628",null
01/01/1986,1986,62162,44538,17624,998628,"2,242,193,183",null
01/01/1987,1987,61738,46653,15085,1013713,"2,172,878,486",null
01/01/1988,1988,60610,49472,11138,1024851,"2,071,577,862",null
01/01/1989,1989,57649,51728,5921,1030772,"199,267,708",null
01/01/1990,1990,50623,50036,587,1031359,"2,061,233,912",null
01/01/1991,1991,44114,55252,-11138,1020221,"1,846,487,005","915,982,223"
01/01/1992,1992,36924,57001,-20077,1000144,"1,754,607,814","4,981,541,067"
01/01/1993,1993,33368,58353,-24985,975159,"1,671,137,731","3,902,977,787"
01/01/1994,1994,31284,56943,-25659,949500,"1,667,456,931","370,045,598"
01/01/1995,1995,32834,61313,-28479,921021,"1,502,162,673","3,234,035,605"
01/01/1996,1996,35744,60467,-24723,896298,"1,482,292,821","3,625,361"
01/01/1997,1997,36358,63286,-26928,869370,"1,373,716,146","3,228,498,217"
01/01/1998,1998,34525,59761,-25236,844134,"1,412,516,524","3,344,959,582"
01/01/1999,1999,32080,61735,-29655,814479,"1,319,314,813","2,746,514,922"
01/01/2000,2000,35229,63849,-28620,785859,"1,230,808,627","2,745,838,574"
01/01/2001,2001,36780,64131,-27351,758508,"1,182,747,813","277,323,681"
01/01/2002,2002,36075,66668,-30593,727915,"1,091,850,663","2,379,351,486"
01/01/2003,2003,35369,68078,-32709,695206,"1,021,190,399","2,125,427,252"
01/01/2004,2004,40163,66950,-26787,668419,"998,385,362","2,495,311,158"
01/01/2005,2005,41845,66667,-24822,643597,"965,390,673","2,592,849,085"
01/01/2006,2006,39739,66244,-26505,617092,"9,315,439,889","2,328,209,772"
01/01/2007,2007,41431,68923,-27492,589600,"8,554,473,833","2,144,623,891"
01/01/2008,2008,43968,59335,-15367,574233,"967,781,242","3,736,793,128"
01/01/2009,2009,51440,61732,-10292,563941,"9,135,310,698","5,479,411,193"
01/01/2010,2010,54541,63846,-9305,554636,"8,687,090,812","5,960,623,321"
01/01/2011,2011,54682,64128,-9446,545190,"8,501,590,569","5,771,649,375"
01/01/2012,2012,58629,61449,-2820,542370,"8,826,343,797","1,923,297,872"
01/01/2013,2013,59334,60603,-1269,541101,"8,928,617,395","4,263,995,272"
01/01/2014,2014,56309,56655,-346,540755,"954,470,038","1,562,875,723"
01/01/2015,2015,60320,57783,2537,543292,"9,402,280,948",null
01/01/2016,2016,61589,62576,-987,542305,"8,666,341,728","5,494,478,217"
01/01/2017,2017,59924,62434,-2510,539795,"8,645,850,018","2,150,577,689"
01/01/2018,2018,53270,59191,-5921,533874,"9,019,513,102","9,016,618,814"
01/01/2019,2019,54257,62434,-8177,525697,"8,420,043,566","6,428,971,505"
01/01/2020,2020,47207,60178,-12971,512726,"8,520,156,868","3,952,864,081"
01/01/2021,2021,47348,60037,-12689,500037,"8,328,813,898","3,940,712,428"
