Country,Facility Name,Facility Type,Fuel Type,Facility Status,Scale,Design Capacity,Start of Operation,End of Operation
Albania,RWSF - Radioactive Waste Storage Facility,"LLW, ILW, DSRS Storage",,In Operation,Laboratory,300 m3,2000,
Argentina,Los Colorados2,Uranium Ore Processing,,Shutdown,Commercial,30 t U/year,1993,1995
Argentina,Arroyito HW Production Facility,Heavy Water Production,,In Operation,Commercial,200 t/year,1993,
Argentina,Atucha HW Production Facility,Heavy Water Production,,Shutdown,Pilot plant,2 t/year,1988,
Argentina,Cordoba Conversion Facility,Conversion to UO2,,In Operation,Commercial,175 t HM/year,1982,
Argentina,Ezeiza - Nuclear Fuel Manufacture Plant,"Fuel Fabrication (U Pellet, Pin, FA)",Nat U for PHWR,In Operation,Commercial,240 t HM/year,1982,
Argentina,Ezeiza - Special Alloy Fabrication,Zirconium Alloy Production,,In Operation,Commercial,10 t/year,1987,
Argentina,Ezeiza - SF Reprocessing Facility,Spent Fuel Reprocessing - aqueous route,,Others,Pilot plant,5 t HM/year,,
Argentina,La Estela,Uranium Ore Processing,,Shutdown,Commercial,20 t U/year,1985,1990
Argentina,Los Gigantes,Uranium Ore Processing,,Decommissioned,Commercial,45 t U/year,1982,1989
Argentina,Malargue,Uranium Ore Processing,,Shutdown,Commercial,85 t U/year,1954,1988
Argentina,Pilcaniyeu Enrichment Facility,Uranium Enrichment,,In Operation,Pilot plant,20 MTSWU/year,1990,
Argentina,Ezeiza - Special Alloy Fabrication,Zirconium Alloy Tubing,,In Operation,Commercial,300 km/year,1987,
Argentina,San Rafael,Uranium Ore Processing,,Stand By,Commercial,120 t U/year,1979,
Argentina,Pilcaniyeu Conversion Facility,Conversion to UF6,,In Operation,Commercial,62 t HM/year,1984,
Argentina,Don Otto,Uranium Ore Processing,,Stand By,Commercial,40 t U/year,1964,1981
Argentina,Los Adobes,Uranium Ore Processing,,Shutdown,Commercial,55 t U/year,1977,1985
Argentina,Atucha SF Storage Facility,AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial,986 t HM,1988,
Argentina,Embalse SF Storage Facility,AFR Dry Spent Fuel Storage,,In Operation,Commercial,2000 t HM,1993,
Argentina,CTP Low-level Radioactive Waste Deposit.,Predisposal (LLW),,In Operation,Commercial, ,,
Argentina,Research Reactors Irradiated Fuel Storage Facility (FACIRI),AFR Wet Spent Fuel Storage (Pool),,In Operation,Commercial, ,,
Armenia,Dry Storage of Spent Nuclear Fuel Assemblies,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,74 t HM,2000,2050
Armenia,Dry storage of Spent Nuclear Fuel Assemblies-Metzamor NPP Site,AFR Dry Spent Fuel Storage,UOX for VVER,In Operation,Commercial,161.28 t HM,2008,2058
Armenia,Solid LLW storage facility,Predisposal (LLW),,In Operation,Commercial,17051 m3,,
Armenia,Solid ILLW storage facility,Predisposal (ILW),,In Operation,Commercial,1001 m3,,
Armenia,DEF containers temporary storage site,Other-Waste Management Facilities,,In Operation,Commercial, ,,
Armenia,Solid HLLW storage facility,Predisposal (HLW),,In Operation,Commercial,78 m3,,
Armenia,Liquid RW storage facilities (ECT and HLST-1),Liquid RW storage facility,,In Operation,Commercial,3170 m3,,
Armenia,Liquid RW storage facility (HLST-2),Liquid RW storage facility,,In Operation,Commercial,350 ,,
Australia,Ben Lomond,Uranium Ore Processing,,Others,Commercial,424 t U/year,,
Australia,Beverley,Uranium Ore Processing,,In Operation,Commercial,1100 t U/year,2001,
Australia,Honeymoon,Uranium Ore Processing,,Refurbishment,Commercial,1272 t U/year,2011,
Australia,Kintyre,Uranium Ore Processing,,Others,Commercial,4400 t U/year,,
Australia,Koongarra,Uranium Ore Processing,,Others,Commercial,1100 t U/year,,
Australia,Lake Way,Uranium Ore Processing,,Others,Commercial,424 t U/year,,
Australia,Nabarlek,Uranium Ore Processing,,Decommissioned,Commercial,1145 t U/year,1980,1988
Australia,Olympic Dam,Uranium Ore Processing,,In Operation,Commercial,4500 t U/year,1988,
Australia,Ranger,Uranium Ore Processing,,Decommissioning,Commercial,6000 ,1981,2021
Australia,Rum Jungle,Uranium Ore Processing,,Decommissioned,Commercial,3500 t U/year,1954,1971
Australia,Silex,Uranium Enrichment,,Decommissioned,Laboratory,0 MTSWU/year,1992,2007
Australia,Four Mile,Uranium Mining,,In Operation,Commercial,2307 t U/year,2014,
Australia,Oban,Uranium Ore Processing,,Others,Pilot plant, ,,
Australia,Crocker Well,Uranium Ore Processing,,Others,Commercial, ,,
Australia,Lake Maitland,Uranium Ore Processing,,Others,Commercial,750 t U/year,2013,2023
Australia,Wiluna/Yeeline,Uranium Ore Processing,,Others,Commercial,6360 t U/year,,
Australia,Mulga Rock,Uranium Ore Processing,,Others,Commercial,1360 t/year,2020,2036
Austria,Seibersdorf NES,Predisposal (LLW),,In Operation,Commercial, ,,
Belarus,Specialized Enterprise for Radioactive Waste Management UE “Ekores”,Other-Waste Management Facilities,,In Operation,Commercial, ,1963,
Belgium,Belgonucleaire PO Plant,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Decommissioned,Commercial,40 t HM/year,1973,2006
Belgium,FBFC International - LWR Fuel Fabrication Plant,"Fuel Fabrication (U Pellet, Pin, FA)","UOX for PWR, UOX for BWR",Decommissioned,Commercial,500 t HM/year,1961,2012
Belgium,B102 (Belgoprocess Site),AFR Wet Spent Fuel Storage (Pool),"UOX for PWR, Fuel for Research Reactor",Decommissioning,Commercial,370 t HM,1965,1975
Belgium,Prayon,Uranium Recovery from Phosphates,,Decommissioned,Commercial,45 t U/year,1980,1998
Belgium,Eurochemic (Belgoprocess Site),Spent Fuel Reprocessing - aqueous route,,Decommissioning,Pilot plant,60 t HM/year,1966,1975
Belgium,Doel NPP Site,AFR Dry Spent Fuel Storage,UOX for PWR,In Operation,Commercial,2100 t HM,1995,
Belgium,Tihange NPP Site,AFR Wet Spent Fuel Storage (Pool),UOX for PWR,In Operation,Commercial,1760 t HM,1997,
Belgium,FBFC International - MOX,"MOX fuel fabrication (Mox Powder, Pellet, Pin, FA)","MOX for PWR, MOX for BWR",Decommissioned,Commercial,100 t HM/year,1997,2015
Belgium,Belgian Reactor 3,AR Spent Fuel Storage,UOX for PWR,Decommissioning,Pilot plant, ,1962,1987
Belgium,Spent Fuel Storage Facility Doel,AFR Dry Spent Fuel Storage,,Under Construction,Commercial, ,,
Belgium,Spent Fuel Storage Facility Tihange,AFR Dry Spent Fuel Storage,,Under Construction,Commercial, ,2023,
Bosnia and Herzegovina,Rakovica Central temporary storage facility,Predisposal (LLW),,In Operation,Commercial, ,,
Brazil,INB-Santa Quiteria Mining and Ore Plant,Uranium Recovery from Phosphates,,Others,Commercial,2300 t U/year,2020,
Brazil,URA-Caetite Uranium Mining and Milling facility,Uranium Ore Processing,,In Operation,Commercial,400 t U/year,1999,
