Country,Probabilidade,Disponibilidade,Atributo,Urânio (Ton.)
Algeria,RAR,in Situ,<USD 40/kgU,0
Algeria,RAR,in Situ,Entre 40 e 80 USD,0
Algeria,RAR,in Situ,Entre 80 e 130 USD,0
Algeria,RAR,in Situ,Entre 130 e 260 USD,26000
Argentina,RAR,in Situ,<USD 40/kgU,0
Argentina,RAR,in Situ,Entre 40 e 80 USD,9600
Argentina,RAR,in Situ,Entre 80 e 130 USD,4800
Argentina,RAR,in Situ,Entre 130 e 260 USD,0
Australia,RAR,in Situ,<USD 40/kgU,0
Australia,RAR,in Situ,Entre 40 e 80 USD,0
Australia,RAR,in Situ,Entre 80 e 130 USD,1907500
Australia,RAR,in Situ,Entre 130 e 260 USD,168800
Botswana,RAR,in Situ,<USD 40/kgU,0
Botswana,RAR,in Situ,Entre 40 e 80 USD,0
Botswana,RAR,in Situ,Entre 80 e 130 USD,32900
Botswana,RAR,in Situ,Entre 130 e 260 USD,0
Brazil,RAR,in Situ,<USD 40/kgU,184300
Brazil,RAR,in Situ,Entre 40 e 80 USD,25400
Brazil,RAR,in Situ,Entre 80 e 130 USD,0
Brazil,RAR,in Situ,Entre 130 e 260 USD,0
Canada,RAR,in Situ,<USD 40/kgU,0
Canada,RAR,in Situ,Entre 40 e 80 USD,293100
Canada,RAR,in Situ,Entre 80 e 130 USD,232000
Canada,RAR,in Situ,Entre 130 e 260 USD,219300
Chile,RAR,in Situ,<USD 40/kgU,0
Chile,RAR,in Situ,Entre 40 e 80 USD,0
Chile,RAR,in Situ,Entre 80 e 130 USD,0
Chile,RAR,in Situ,Entre 130 e 260 USD,700
China,RAR,in Situ,<USD 40/kgU,45400
China,RAR,in Situ,Entre 40 e 80 USD,33700
China,RAR,in Situ,Entre 80 e 130 USD,70700
China,RAR,in Situ,Entre 130 e 260 USD,4700
Congo Dem Rep of,RAR,in Situ,<USD 40/kgU,0
Congo Dem Rep of,RAR,in Situ,Entre 40 e 80 USD,0
Congo Dem Rep of,RAR,in Situ,Entre 80 e 130 USD,0
Congo Dem Rep of,RAR,in Situ,Entre 130 e 260 USD,1900
Czech Republic,RAR,in Situ,<USD 40/kgU,0
Czech Republic,RAR,in Situ,Entre 40 e 80 USD,0
Czech Republic,RAR,in Situ,Entre 80 e 130 USD,1300
Czech Republic,RAR,in Situ,Entre 130 e 260 USD,2500
Denmark/Greenland,RAR,in Situ,<USD 40/kgU,0
Denmark/Greenland,RAR,in Situ,Entre 40 e 80 USD,0
Denmark/Greenland,RAR,in Situ,Entre 80 e 130 USD,0
Denmark/Greenland,RAR,in Situ,Entre 130 e 260 USD,102800
Finland,RAR,in Situ,<USD 40/kgU,0
Finland,RAR,in Situ,Entre 40 e 80 USD,0
Finland,RAR,in Situ,Entre 80 e 130 USD,1500
Finland,RAR,in Situ,Entre 130 e 260 USD,0
Gabon,RAR,in Situ,<USD 40/kgU,0
Gabon,RAR,in Situ,Entre 40 e 80 USD,0
Gabon,RAR,in Situ,Entre 80 e 130 USD,6400
Gabon,RAR,in Situ,Entre 130 e 260 USD,0
Germany,RAR,in Situ,<USD 40/kgU,0
Germany,RAR,in Situ,Entre 40 e 80 USD,0
Germany,RAR,in Situ,Entre 80 e 130 USD,0
Germany,RAR,in Situ,Entre 130 e 260 USD,4000
Greece,RAR,in Situ,<USD 40/kgU,0
Greece,RAR,in Situ,Entre 40 e 80 USD,0
Greece,RAR,in Situ,Entre 80 e 130 USD,0
Greece,RAR,in Situ,Entre 130 e 260 USD,1300
Guyana,RAR,in Situ,<USD 40/kgU,0
Guyana,RAR,in Situ,Entre 40 e 80 USD,0
Guyana,RAR,in Situ,Entre 80 e 130 USD,0
