Country,Total_Uranium,Cost_Below_40,Cost_Below_80,Cost_Below_130,Cost_Below_260,Average_Deposit_Cost
Afghanistan,3000.0,0.0,0.0,0.0,0.0,800.0
Algeria,107600.0,73000.0,73000.0,94600.0,107600.0,57.25
Angola,30000.0,30000.0,30000.0,30000.0,30000.0,0.0
Argentina,64370.0,6000.0,6000.0,21505.0,55165.0,351.468253968254
Armenia,440.0,0.0,0.0,0.0,440.0,140.0
Australia,1282570.0,32000.0,32000.0,680720.0,1069405.0,326.5578034682081
Austria,1460.0,0.0,0.0,0.0,1380.0,400.0
Belgium,30000.0,30000.0,30000.0,30000.0,30000.0,0.0
"Bolivia, Plurinational State of",80.0,0.0,0.0,80.0,80.0,106.5
Botswana,172040.0,0.0,0.0,0.0,170740.0,248.44444444444446
Brazil,1179460.0,106300.0,106300.0,406620.0,758860.0,265.27027027027026
Bulgaria,41610.0,0.0,0.0,23685.0,34300.0,206.2443181818182
Cameroon,14305.0,0.0,0.0,0.0,1300.0,337.6666666666667
Canada,2114110.0,656600.0,656600.0,1767375.0,1903730.0,270.68468468468467
Central African Republic,33300.0,0.0,0.0,33300.0,33300.0,92.0
Chad,3005.0,0.0,0.0,0.0,0.0,723.25
Chile,106075.0,103100.0,103100.0,103195.0,104505.0,198.92424242424244
China,747840.0,60680.0,60680.0,320700.0,447360.0,143.11242603550295
Colombia,88080.0,0.0,0.0,6000.0,6080.0,479.0833333333333
Czech Republic,215140.0,0.0,0.0,157375.0,214670.0,166.06770833333334
Dem. P.R. of Korea,440.0,0.0,0.0,0.0,440.0,613.3333333333334
Democratic Republic of the Congo,69800.0,25000.0,25000.0,63360.0,63800.0,113.0
Denmark,379080.0,13000.0,13000.0,26080.0,26080.0,422.6666666666667
Egypt,386120.0,383000.0,383000.0,383000.0,386040.0,217.1875
Estonia,333300.0,333300.0,333300.0,333300.0,333300.0,0.0
Finland,36985.0,26000.0,26000.0,29395.0,30805.0,353.7
France,102515.0,0.0,0.0,67185.0,96460.0,169.05718475073314
Gabon,60640.0,30000.0,30000.0,54640.0,54640.0,97.77777777777777
Germany,350025.0,0.0,0.0,135840.0,337400.0,201.58762886597938
Greece,6620.0,0.0,0.0,160.0,3180.0,289.3333333333333
Guinea,6000.0,0.0,0.0,0.0,0.0,533.0
Guyana,5200.0,0.0,0.0,0.0,0.0,280.0
Hungary,48645.0,0.0,0.0,43440.0,46440.0,589.3
India,453400.0,8640.0,8640.0,22040.0,80480.0,325.53076923076924
Indonesia,27000.0,15180.0,15180.0,24840.0,26400.0,169.30434782608697
"Iran, Islamic Republic of",1700.0,160.0,160.0,160.0,320.0,202.25
Iraq,921080.0,915080.0,915080.0,915080.0,915080.0,95.95
Ireland,5.0,0.0,0.0,0.0,0.0,960.0
Israel,30000.0,0.0,0.0,0.0,0.0,665.0
Italy,4540.0,0.0,0.0,3000.0,4380.0,284.4166666666667
Japan,7705.0,0.0,0.0,80.0,7705.0,153.0625
Jordan,172000.0,60000.0,60000.0,60000.0,103000.0,422.2142857142857
Kazakhstan,1801940.0,0.0,0.0,1651020.0,1789500.0,121.44186046511628
"Korea, Republic of",39080.0,0.0,0.0,0.0,160.0,824.0454545454545
Kyrgyzstan,83420.0,10380.0,10380.0,26580.0,39960.0,375.25714285714287
Madagascar,1825.0,0.0,0.0,1745.0,1745.0,239.75
Malawi,17380.0,3000.0,3000.0,16000.0,17380.0,126.75
Mali,13080.0,0.0,0.0,13000.0,13080.0,106.75
Mauritania,30340.0,6000.0,6000.0,6000.0,6000.0,665.9411764705883
Mexico,107155.0,95000.0,95000.0,104295.0,105210.0,169.12264150943398
Mongolia,217820.0,36170.0,36170.0,164620.0,214380.0,125.08163265306122
Morocco,383865.0,60000.0,60000.0,60440.0,60525.0,493.38235294117646
Mozambique,165.0,0.0,0.0,165.0,165.0,80.0
Namibia,962860.0,14300.0,14300.0,20300.0,81600.0,782.2962962962963
New Zealand,13000.0,0.0,0.0,0.0,0.0,666.0
Niger,773360.0,0.0,0.0,729100.0,767360.0,109.25490196078431
Nigeria,2220.0,440.0,440.0,1980.0,2220.0,125.0625
North Macedonia,1470.0,0.0,0.0,1470.0,1470.0,90.6
Norway,250.0,80.0,80.0,80.0,165.0,300.1
Pakistan,8120.0,0.0,0.0,1040.0,6820.0,217.83333333333334
Paraguay,3000.0,0.0,0.0,3000.0,3000.0,119.0
Peru,171860.0,126080.0,126080.0,128700.0,128700.0,276.40909090909093
Poland,291115.0,280085.0,280085.0,284750.0,284950.0,166.40625
Portugal,12585.0,0.0,0.0,4240.0,8365.0,165.39823008849558
Romania,31075.0,0.0,0.0,28185.0,30035.0,150.625
Russian Federation,1569850.0,5180.0,5180.0,829465.0,1045565.0,252.0608552631579
Rwanda,160.0,0.0,0.0,160.0,160.0,100.0
Saudi Arabia,631200.0,285200.0,285200.0,285200.0,285200.0,323.3888888888889
Senegal,1300.0,0.0,0.0,0.0,1300.0,140.0
Serbia,6555.0,0.0,0.0,2660.0,3790.0,578.2258064516129
Slovakia,26180.0,0.0,0.0,21620.0,26020.0,152.375
Slovenia,13000.0,0.0,0.0,13000.0,13000.0,80.0
Somalia,12000.0,0.0,0.0,0.0,6000.0,220.0
South Africa,2668920.0,796120.0,796120.0,878410.0,1004020.0,348.415611814346
Spain,174175.0,0.0,0.0,3440.0,11330.0,734.4459459459459
Sweden,905105.0,0.0,0.0,1620.0,11805.0,381.57608695652175
Switzerland,975.0,0.0,0.0,10.0,455.0,219.58333333333334
Syrian Arab Republic,95000.0,65000.0,65000.0,65000.0,65000.0,110.83333333333333
Tajikistan,1740.0,0.0,0.0,0.0,1300.0,147.83333333333334
Thailand,131675.0,131660.0,131660.0,131665.0,131665.0,141.78947368421052
Tunisia,30000.0,30000.0,30000.0,30000.0,30000.0,0.0
Turkmenistan,13740.0,0.0,0.0,6440.0,7740.0,253.25
Türkiye,24180.0,80.0,80.0,15120.0,23135.0,232.05172413793105
Uganda,3000.0,3000.0,3000.0,3000.0,3000.0,0.0
Ukraine,353640.0,0.0,0.0,10260.0,240840.0,152.375
United Kingdom,1860.0,0.0,0.0,980.0,1860.0,90.5625
United Republic of Tanzania,74750.0,0.0,0.0,90.0,61830.0,424.7692307692308
United States of America,2505705.0,1546925.0,1546925.0,2398635.0,2416710.0,92.17812669193286
Uruguay,5.0,0.0,0.0,5.0,5.0,80.0
Uzbekistan,367360.0,440.0,440.0,266280.0,353060.0,120.43529411764706
"Venezuela, Bolivarian Republic of",26000.0,0.0,0.0,0.0,0.0,666.0
Viet Nam,35200.0,6000.0,6000.0,6000.0,29600.0,378.6818181818182
Zambia,36300.0,0.0,0.0,1380.0,35000.0,240.5
Zimbabwe,1300.0,0.0,0.0,1300.0,1300.0,80.0
