Country,tU
Algeria,0
Argentina,2582
Armenia,0
Australia,240581
Belarus,0
Belgium,686
Bolivia,0
Botswana,0
Brazil,4288
Bulgaria,16347
Canada,554791
CentrAfrR,0
Chad,0
Chile,0
China_continental,52799
China_Taiwan,0
Congo_DR,25600
Czech_Rep,112229
Egypt,0
Estonia,0
Finland,30
France,80978
Gabon,25403
Germany,219796
Greece,0
Greenland_DK,0
Guyana,0
Hungary,21089
India,15153
Indonesia,0
Iran,201
Israel,0
Italy,0
Japan,84
Jordan,0
Kazakhstan,423629
Korea_DPR,0
Korea_Rep,0
Kyrgyzstan,0
Lithuania,0
Madagascar,785
Malawi,4217
Mali,0
Mauritania,0
Mexico,49
Mongolia,535
Namibia,158999
Netherlands,0
Niger,156380
Pakistan,1799
Paraguay,0
Peru,0
Poland,650
Portugal,3720
Romania,18974
Russia,181625
Senegal,0
Slovakia,211
Slovenia,387
Somalia,0
South_Africa,161686
Spain,5028
Sweden,200
Switzerland,0
Tanzania,0
Thailand,0
Turkey,0
Ukraine,134995
United_Kingdom,0
United_Arab_Emirates,0
USA,377081
USSR_1991,102886
Uzbekistan,154298
Vietnam,0
Zambia,86
Zimbabwe,0
World_Total,3260857
