Country,tU
Algeria,0
Argentina,0
Armenia,0
Australia,5654
Belarus,0
Belgium,0
Bolivia,0
Botswana,0
Brazil,40
Bulgaria,0
Canada,13325
Centr.Afr.R.,0
Chad,0
Chile,0
China continental,1616
China Taiwan,0
Congo DR,0
Czech Rep.,155
Egypt,0
Estonia,0
Finland,0
France,2
Gabon,0
Germany,0
Greece,0
Greenld/DK,0
Guyana,0
Hungary,0
India,385
Indonesia,0
Iran,38
Israel,0
Italy,0
Japan,0
Jordan,0
Kazakhstan,23607
Korea DPR,0
Korea Rep.,0
Kyrgyzstan,0
Lithuania,0
Madagascar,0
Malawi,0
Mali,0
Mauritania,0
Mexico,0
Mongolia,2993
Namibia,0
Netherlands,4116
Niger,45
Pakistan,0
Paraguay,0
Peru,0
Poland,0
Portugal,77
Romania,3055
Russia,0
Senegal,0
Slovakia,0
Slovenia,0
Somalia,393
South Africa,0
Spain,0
Sweden,0
Switzerland,0
Tanzania,0
Thailand,0
Turkey,1200
Ukraine,0
United Kingdom,0
United Arab Emirates,1256
USA,0
USSR -1991,2385
Uzbekistan,0
Vietnam,0
Zambia,0
Zimbabwe,0
