Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Argentina,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,4910,5984,7579,7756,6854,7572,8982,9516,7593,8611,8430,7982,5900,5983,6991,6350,5001,5654,6315,5882,6517,6613,6203,4192,4553
Belgium,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,80,58,270,310,300,110,190,299,330,345,148,265,326,192,55,40,44,0,0,0,15,29,43
Canada,10922,8214,10683,12520,11604,10457,11597,11628,9862,9476,9000,10173,9783,9145,8999,9332,9134,13325,14039,13116,7001,6938,3885,4693,7351
China continental,590,700,700,655,730,750,750,750,750,712,769,750,827,885,1500,1450,1500,1616,1616,1692,1885,1885,1885,1600,1700
Czech Rep.,610,612,507,456,465,452,412,408,359,306,263,258,254,229,228,225,193,155,138,0,0,0,0,0,0
France,507,416,296,195,20,9,7,7,5,4,5,8,7,6,3,0,3,2,0,0,0,0,0,0,0
Gabon,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,30,29,28,27,221,104,77,94,65,41,0,0,8,51,50,27,33,0,0,0,0,0,0,0,0
Hungary,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,207,207,207,230,230,230,230,230,177,270,271,290,400,400,385,400,385,385,385,421,423,308,400,600,600
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,40,71,71,71,21,20
Kazakhstan,1270,1560,1870,2050,2800,3300,3719,4357,5279,6637,8521,14020,17803,19451,21317,22567,23127,23607,24689,23321,21705,22808,19477,21819,21227
Malawi,0,0,0,0,0,0,0,0,0,0,0,104,670,846,1101,1132,369,0,0,0,0,0,0,0,0
Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993,3654,4224,5525,5476,5413,5753,5613
Namibia,2780,2690,2715,2239,2333,2036,3038,3147,3067,2879,4366,4626,4496,3258,4495,4315,3255,0,0,0,0,0,0,0,0
Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4116,3479,3449,2911,2983,2991,2248,2020
Niger,3714,2907,2911,2920,3075,3143,3282,3093,3434,3153,3032,3243,4198,4351,4667,4528,4057,45,45,45,45,45,45,45,45
Pakistan,23,23,23,46,38,45,45,45,45,45,45,50,45,45,45,41,45,0,0,0,0,0,0,0,0
Portugal,19,10,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,77,50,0,0,0,0,0,0
Romania,132,89,86,85,90,90,90,90,90,77,77,75,77,77,90,80,77,3055,3004,2917,2904,2911,2846,2635,2508
Russia,2530,2610,2760,2500,2900,3150,3200,3431,3262,3413,3521,3564,3562,2993,2872,3135,2990,2385,3325,3400,3450,3500,3500,3520,3300
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,490,308,346,346,250,192,200
South Africa,994,927,838,873,824,758,755,674,534,539,655,563,583,582,465,540,573,0,0,0,0,0,0,0,0
Spain,255,255,255,30,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,808,707,790,800,744,455,100
Ukraine,1000,1000,1000,750,800,800,800,800,800,846,800,840,850,890,960,1075,926,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,1125,940,582,58,6,8,75
USA,1810,1773,1522,1011,883,779,878,1039,1672,1654,1430,1453,1660,1537,1596,1835,1919,0,0,0,0,0,0,0,0
Uzbekistan,1926,2159,2028,1962,1860,1589,2016,2300,2260,2320,2338,2429,2400,2500,2400,2400,2400,0,0,0,0,0,0,0,0
Global,34986,32179,36112,36366,36036,35574,40178,41719,39444,41282,43853,50773,53671,53494,58490,59624,56042,60342,63206,60462,54155,54742,47731,47810,49355
