Name,Year,Electricity Supplied [GW.h],Reference Unit Power [MW],Annual Time On Line [h],Operation Factor [%],Energy Availability Factor - Annual [%],Energy Availability Factor - Cumulative [%],Load Factor - Annual [%],Load Factor - Cumulative [%]
ARMENIAN-1,1987.0,2101.32,408.0,5600.0,63.9,59.8,,58.8,
ARMENIAN-1,1988.0,2149.51,376.0,5915.0,67.3,65.5,,65.1,
ARMENIAN-1,1989.0,505.33,376.0,1330.0,93.9,99.5,,94.9,
ARMENIAN-2,1987.0,2629.08,408.0,7040.0,80.4,79.3,,73.6,
ARMENIAN-2,1988.0,2254.53,376.0,6741.0,76.7,73.4,,68.3,
ARMENIAN-2,1989.0,671.28,376.0,1838.0,85.1,99.6,,82.7,
ARMENIAN-2,1996.0,2097.98,376.0,7561.0,86.1,63.6,,63.5,
ARMENIAN-2,1997.0,1429.96,376.0,5700.0,65.1,43.4,,43.4,
ARMENIAN-2,1998.0,1416.47,376.0,6408.0,73.2,44.6,,43.0,
ARMENIAN-2,1999.0,1890.37,376.0,6193.0,70.7,57.4,,57.4,
ARMENIAN-2,2000.0,1841.51,376.0,5699.0,64.9,55.8,61.2,55.8,58.9
ARMENIAN-2,2001.0,1815.41,376.0,5660.0,64.6,55.1,60.5,55.1,58.4
ARMENIAN-2,2002.0,2078.9,376.0,6961.0,79.5,63.2,60.8,63.1,58.9
ARMENIAN-2,2003.0,1997.55,376.0,6120.0,69.9,60.6,60.8,60.6,59.1
ARMENIAN-2,2004.0,2196.58,376.0,7135.0,81.2,64.2,61.1,66.5,59.7
ARMENIAN-2,2005.0,2504.49,376.0,7658.0,87.4,76.2,62.3,76.0,61.1
ARMENIAN-2,2006.0,2421.62,376.0,7632.0,87.1,76.1,63.3,73.5,62.0
ARMENIAN-2,2007.0,2347.83,376.0,7447.0,85.0,73.8,64.1,71.3,62.6
ARMENIAN-2,2008.0,2265.89,376.0,7013.0,79.8,69.0,64.4,68.6,63.0
ARMENIAN-2,2009.0,2290.42,375.0,7408.0,84.6,69.8,64.7,69.7,63.4
ARMENIAN-2,2010.0,2286.54,375.0,7535.0,86.0,69.7,65.0,69.6,63.8
ARMENIAN-2,2011.0,2356.84,375.0,7552.0,86.2,73.7,65.5,71.8,64.2
ARMENIAN-2,2012.0,2123.5,375.0,7052.0,80.3,66.4,65.5,64.5,64.2
ARMENIAN-2,2013.0,2167.63,375.0,7237.0,82.6,64.4,65.5,66.0,64.3
ARMENIAN-2,2014.0,2265.64,375.0,7542.0,86.1,67.3,65.6,69.0,64.5
ARMENIAN-2,2015.0,2571.1,375.0,7859.0,89.7,77.4,66.1,78.3,65.2
ARMENIAN-2,2016.0,2194.85,375.0,6756.0,76.9,65.4,66.1,66.6,65.2
ARMENIAN-2,2017.0,2411.39,375.0,7341.0,83.8,71.4,66.3,73.4,65.6
ARMENIAN-2,2018.0,1898.08,375.0,7169.0,81.8,55.8,65.9,57.8,65.2
ARMENIAN-2,2019.0,2028.96,375.0,6252.0,71.4,57.2,65.5,61.8,65.1
ARMENIAN-2,2020.0,2551.8,415.0,7295.0,83.0,70.3,65.7,70.0,65.3
ARMENIAN-2,2021.0,1850.04,448.0,5028.0,57.4,49.5,65.1,50.2,64.7
ARMENIAN-2,2022.0,2630.85,416.0,7110.0,81.2,68.2,65.2,72.2,65.0
ARMENIAN-2,2023.0,2512.03,416.0,6490.0,74.1,67.3,65.3,68.9,65.1
ATUCHA-1,1974.0,947.5,319.0,4458.0,66.0,50.3,50.3,50.3,50.3
ATUCHA-1,1975.0,2357.8,319.0,7730.0,88.2,85.6,73.8,84.4,73.0
ATUCHA-1,1976.0,2408.6,319.0,7808.0,88.9,86.9,79.0,86.0,78.2
