Year,Production,Demand,Stock,Accumulated Stock,Years of Stock,Years of Stock(w/Production)
1945,704,0,704,704,,
1946,1030,0,1030,1734,,
1947,1400,0,1400,3134,,
1948,1977,0,1977,5111,,
1949,3523,0,3523,8634,,
1950,7188,0,7188,15822,,
1951,6384,0,6384,22206,,
1952,8174,0,8174,30380,,
1953,11840,0,11840,42220,,
1954,14924,0,14924,57144,,
1955,18183,842,17341,74485,88.46199524940617,
1955,22836,842,21994,96479,114.58313539192399,
1957,32061,842,31219,127698,151.6603325415677,
1958,40740,841,39899,167597,199.28299643281807,
1959,47507,841,46666,214263,254.77170035671818,
1960,46158,1687,44471,258734,153.36929460580913,
1961,41444,1545,39899,298633,193.28996763754046,
1962,40739,2109,38630,337263,159.91607396870555,
1963,38677,3660,35017,372280,101.71584699453553,
1964,33741,4787,28954,401234,83.81742218508461,
1965,31433,5210,26223,427457,82.04548944337812,
1966,32892,5069,27823,455280,89.81653186032749,
1967,34534,7324,27210,482490,65.87793555434189,
1968,36649,9720,26929,509419,52.4093621399177,
1969,36195,12258,23937,533356,43.510850057105564,
1970,37776,14090,23686,557042,39.53456352022711,
1971,38481,15500,22981,580023,37.42083870967742,
1972,40433,16487,23946,603969,36.63304421665555,
1973,41441,17755,23686,627655,35.35088707406364,
1974,40876,18460,22416,650071,35.215113759479955,
1975,42948,19728,23220,673291,34.128700324412,
1976,46938,23253,23685,696976,29.973594804971402,
1976,50897,23253,27644,724620,31.162430654109148,
1978,59645,26918,32727,757347,28.135336949253286,
1979,63996,29314,34682,792029,27.01879647949785,
1980,69213,28750,40463,832492,28.95624347826087,
1981,69222,29596,39626,872118,29.467428030814975,
1982,64184,31569,32615,904733,28.65890588868827,
1983,61458,34811,26647,931380,26.75533595702508,
1984,63238,42142,21096,952476,22.60158511698543,
1985,60047,40732,19315,971791,23.858170480212117,
1986,62162,44538,17624,989415,22.215074767614173,
1989,57508,51728,5780,995195,19.23900015465512,
1990,50623,50036,587,995782,19.901311056039653,
1990,44819,50036,-5217,990565,19.79704612678871,189.87253210657465
1991,39361,55252,-15891,974674,17.64051980018823,61.334969479579634
1993,33368,58353,-24985,949689,16.274895892242043,38.010366219731836
1994,31284,56943,-25659,924030,16.227279911490438,36.01192564012627
1995,32834,61313,-28479,895551,14.606217278554304,31.446012851574846
1996,35744,60467,-24723,870828,14.40170671606,35.22339521902682
1997,36358,63286,-26928,843900,13.334702777865562,31.339126559714796
1998,34986,59761,-24775,819125,13.706681615100148,33.06256306760848
1999,32179,61735,-29556,789569,12.789649307524096,26.714338882122075
2000,36112,63849,-27737,761832,11.931776535262886,27.466272488012404
2001,36366,64131,-27765,734067,11.446367591336482,26.438573743922205
2003,39317,68078,-28761,705306,10.360263227474368,24.522999895692084
2003,35574,68078,-32504,672802,9.882810893386997,20.699052424317006
2005,41719,66667,-24948,647854,9.717761411192944,25.968173801507135
2006,39444,66244,-26800,621054,9.375249079161886,23.17365671641791
2007,41282,68923,-27641,593413,8.609796439504954,21.468579284396366
2008,43853,59335,-15482,577931,9.740136513019298,37.329221030874564
2009,50773,61732,-10959,566972,9.184410030454222,51.735742312254764
2010,53671,63846,-10175,556797,8.720937881778028,54.722063882063885
2011,53494,64128,-10634,546163,8.516763348303392,51.36007146887342
2012,58490,61449,-2959,543204,8.839916027925597,183.57688408246028
2013,59624,60603,-979,542225,8.947164331798756,553.855975485189
2014,56042,56655,-613,541612,9.55982702321066,883.5432300163133
2015,60342,57783,2559,544171,9.41749303428344,
2016,63206,62576,630,544801,8.706229225262081,
2017,60462,62434,-1972,542829,8.694445334272991,275.2682555780933
2018,54155,59191,-5036,537793,9.085722491595005,106.78971405877681
2019,54742,62434,-7692,530101,8.49058205464971,68.91588663546541
2020,47731,60178,-12447,517654,8.602047259795938,41.588655901020324
2021,47810,60037,-12227,505427,8.418591868347852,41.33695918868079
