Year,Uranium(T)
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,842
1956,560
1957,842
1958,841
1959,841
1960,1687
1961,1545
1962,2109
1963,3660
1964,4787
1965,5210
1966,5069
1967,7324
1968,9720
1969,12258
1970,14090
1971,15500
1972,16487
1973,17755
1974,18460
1975,19728
1976,23253
1977,25367
1978,26918
1979,29314
1980,28750
1981,29596
1982,31569
1983,34811
1984,42142
1985,40732
1986,44538
1987,46653
1988,49472
1989,51728
1990,50036
1991,55252
1992,57001
1993,58353
1994,56943
1995,61313
1996,60467
1997,63286
1998,59761
1999,61735
2000,63849
2001,64131
2002,66668
2003,68078
2004,66950
2005,66667
2006,66244
2007,68923
2008,59335
2009,61732
2010,63846
2011,64128
2012,61449
2013,60603
2014,56655
2015,57783
2016,62576
2017,62434
2018,59191
2019,62434
2020,60178
2021,60037
