Year,Production,Demand,Stock
1945,704,0,704
1946,845,0,845
1947,1550,0,1550
1948,2254,0,2254
1949,3523,0,3523
1950,7188,0,7188
1951,6384,0,6384
1952,8174,0,8174
1953,11840,0,11840
1954,14924,0,14924
1955,18183,842,17341
1956,24950,560,24390
1957,32061,842,31219
1958,40740,841,39899
1959,47507,841,46666
1960,46158,1687,44471
1961,41444,1545,39899
1962,40739,2109,38630
1963,38677,3660,35017
1964,33741,4787,28954
1964,35945,4787,31158
1965,31433,5210,26223
1966,32892,5069,27823
1967,34534,7324,27210
1968,36649,9720,26929
1969,36195,12258,23937
1970,37776,14090,23686
1971,38481,15500,22981
1972,40433,16487,23946
1973,41441,17755,23686
1974,40876,18460,22416
1975,42948,19728,23220
1976,50897,23253,27644
1976,46938,23253,23685
1977,53987,25367,28620
1978,59645,26918,32727
1979,63432,29314,34118
1980,69213,28750,40463
1981,69222,29596,39626
1982,64184,31569,32615
1983,61458,34811,26647
1984,63238,42142,21096
1985,60047,40732,19315
1986,62162,44538,17624
1987,61738,46653,15085
1988,60610,49472,11138
1989,57649,51728,5921
1990,50623,50036,587
1991,44114,55252,-11138
1992,36924,57001,-20077
1993,33368,58353,-24985
1994,31284,56943,-25659
1995,32834,61313,-28479
1996,35744,60467,-24723
1997,36358,63286,-26928
1998,34986,59761,-24775
1999,32179,61735,-29556
2000,36112,63849,-27737
2001,36366,64131,-27765
2002,36036,66668,-30632
2003,35574,68078,-32504
2004,40178,66950,-26772
2005,41719,66667,-24948
2006,39444,66244,-26799
2007,41282,68923,-27641
2008,43853,59335,-15482
2009,50773,61732,-10959
2010,53671,63846,-10175
2011,53494,64128,-10634
2012,58490,61449,-2960
2013,59624,60603,-979
2014,56042,56655,-613
2015,60342,57783,2559
2016,63206,62576,630
2017,60462,62434,-1972
2018,54155,59191,-5036
2019,54742,62434,-7692
2020,47731,60178,-12447
2021,47810,60037,-12227
