Country,Total_Uranium,Cost_Below_40,Cost_Below_80,Cost_Below_130,Cost_Below_260,Average_Deposit_Cost
Afghanistan,3000.0,0.0,0.0,0.0,0.0,3359.5
Algeria,107600.0,73000.0,74300.0,74300.0,93300.0,238.125
Angola,30000.0,30000.0,30000.0,30000.0,30000.0,0.0
Argentina,64370.0,19720.0,19960.0,22645.0,39905.0,875.563492063492
Armenia,440.0,0.0,0.0,0.0,0.0,315.0
Australia,1282570.0,155900.0,231720.0,624795.0,694005.0,888.8526011560693
Austria,1460.0,0.0,0.0,0.0,0.0,1440.0
Belgium,30000.0,30000.0,30000.0,30000.0,30000.0,0.0
"Bolivia, Plurinational State of",80.0,0.0,0.0,0.0,0.0,960.0
Botswana,172040.0,0.0,0.0,0.0,170740.0,293.27777777777777
Brazil,1179460.0,112300.0,112300.0,112300.0,395300.0,830.8243243243244
Bulgaria,41610.0,2180.0,19140.0,19580.0,27240.0,517.2613636363636
Cameroon,14305.0,0.0,0.0,0.0,0.0,1964.6666666666667
Canada,2114110.0,1245410.0,1362830.0,1425940.0,1452590.0,738.5022522522522
Central African Republic,33300.0,0.0,6000.0,6000.0,33300.0,106.2
Chad,3005.0,0.0,0.0,0.0,0.0,2797.25
Chile,106075.0,103100.0,103100.0,103100.0,103115.0,625.4545454545455
China,747840.0,110080.0,227840.0,230040.0,290480.0,363.198224852071
Colombia,88080.0,0.0,6000.0,6000.0,6000.0,647.0
Czech Republic,215140.0,51000.0,120000.0,120000.0,123685.0,434.3697916666667
Dem. P.R. of Korea,440.0,0.0,0.0,0.0,0.0,1860.0
Democratic Republic of the Congo,69800.0,25000.0,25000.0,55000.0,59740.0,459.4047619047619
Denmark,379080.0,13000.0,13000.0,13000.0,26080.0,1726.6666666666667
Egypt,386120.0,383000.0,383000.0,383000.0,383000.0,570.9375
Estonia,333300.0,333300.0,333300.0,333300.0,333300.0,0.0
Finland,36985.0,26520.0,27480.0,27480.0,27560.0,1467.6
France,102515.0,33965.0,48135.0,48215.0,64200.0,363.50879765395894
Gabon,60640.0,54200.0,54640.0,54640.0,54640.0,59.0
Germany,350025.0,1380.0,43820.0,43820.0,123700.0,735.1907216494845
Greece,6620.0,0.0,160.0,160.0,160.0,534.1111111111111
Guinea,6000.0,0.0,0.0,0.0,0.0,3839.0
Guyana,5200.0,0.0,0.0,0.0,0.0,1215.0
Hungary,48645.0,30000.0,43440.0,43440.0,46440.0,1397.25
India,453400.0,20640.0,22040.0,22040.0,24740.0,1549.9153846153847
Indonesia,27000.0,15620.0,15620.0,15620.0,19060.0,705.3260869565217
"Iran, Islamic Republic of",1700.0,160.0,160.0,160.0,160.0,552.5
Iraq,921080.0,915080.0,915080.0,915080.0,915080.0,215.95
Ireland,5.0,0.0,0.0,0.0,0.0,2520.0
Israel,30000.0,0.0,0.0,0.0,0.0,719.0
Italy,4540.0,0.0,0.0,0.0,0.0,1360.0
Japan,7705.0,80.0,80.0,7705.0,7705.0,108.75
Jordan,172000.0,60000.0,60000.0,60000.0,60000.0,616.6428571428571
Kazakhstan,1801940.0,613380.0,1406200.0,1408860.0,1428740.0,355.3759689922481
"Korea, Republic of",39080.0,0.0,0.0,0.0,160.0,1799.7272727272727
