Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Afghanistan,5362,Khanneshin,4,3,≥2500 - <5000,≥0.01 - <0.05
Algeria,1,Abankor,3,3,≥5000 - <10000,≥0.20 - <0.50
Algeria,5363,Bled el Hadba,8,7,≥25000 - <50000,>0 - <0.01
Algeria,2,Daira South,3,3,≥1000 - <2500,≥0.10 - <0.20
Algeria,5364,Djemidjema,8,7,≥25000 - <50000,>0 - <0.01
Algeria,5365,Kef es Sennoun,8,7,≥10000 - <25000,>0 - <0.01
Algeria,3,Tahaggart,7,6,≥1000 - <2500,≥0.20 - <0.50
Algeria,4,Timgaouine,4,4,≥10000 - <25000,≥0.20 - <0.50
Algeria,5,Tinef,3,3,≥10000 - <25000,≥0.05 - <0.10
Angola,5366,Cabinda Province,8,7,≥25000 - <50000,>0 - <0.01
Argentina,4423,Agua De Los Pájaros,4,5,>0 - <25,≥0.01 - <0.05
Argentina,4430,Alipan,4,5,≥1000 - <2500,≥0.05 - <0.10
Argentina,7131,Anit,10,9,≥1000 - <2500,≥0.01 - <0.05
Argentina,7132,Catriel,10,10,≥5000 - <10000,≥0.10 - <0.20
Argentina,4533,Cerro Áspero,4,4,≥300 - <1000,≥0.01 - <0.05
Argentina,4534,Cerro Cóndor,10,9,≥25 - <300,≥0.05 - <0.10
Argentina,6,Cerro Solo,10,9,≥5000 - <10000,≥0.20 - <0.50
Argentina,1753,Cueva Del Chaco 1,10,10,≥25 - <300,≥0.05 - <0.10
Argentina,2003,Cueva Del Chaco 2,10,10,≥25 - <300,≥0.05 - <0.10
Argentina,2004,Cueva Del Chaco 3,10,10,≥25 - <300,≥0.05 - <0.10
Argentina,7890,Don Alberto,4,4,≥25 - <300,≥0.01 - <0.05
Argentina,7,Don Otto,10,8,≥300 - <1000,≥0.10 - <0.20
Argentina,7891,Don Vicente,4,4,≥25 - <300,≥0.01 - <0.05
Argentina,2005,El Salto,10,10,≥25 - <300,≥0.01 - <0.05
Argentina,2043,Gaucho I-II,3,5,≥25 - <300,≥0.05 - <0.10
