Países,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1973,1970,1971,1972,1969,1965,1966,1967,1968,1964
ARGENTINA,1410,50,-871,1174,-208,-323,467,-894,1417,1061,1015,17,716,-614,-709,2064,497,-636,592,632,-1240,361,526,-527,-332,-854,811,-1157,1627,289,-944,782,-430,127,739,-898,-797,9,-167,-477,1260,1158,-1961,736,1473,2085,157,-2700,1493,,,,,,,,,,
ARMENIA,,,,,,,,,,,,,,-326,-3227,,,,,,,,-668,-13,473,-48,-26,263,-81,199,307,-82,-73,-81,24,-3,70,-233,44,98,305,-376,216,-513,130,522,-701,780,-118,,,,,,,,,,
BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5083,-1010,6585,,,,,,,,,,
BELGIUM,6246,3177,1762,550,-1053,1035,345,2618,8087,3472,2865,8089,2511,982,-1695,1452,85,581,-1416,-1185,652,1927,3627,-899,2750,-896,-1738,980,17,-66,329,-1021,1538,-2494,1600,768,213,-7477,2167,-8538,-7268,16605,-1243,-12935,14170,-8628,15169,-6218,-10455,,,,,,,,,,
BRAZIL,,,,,,,,,110,1382,1623,-3037,778,-343,1128,360,-748,200,-1103,-361,2292,-44,701,103,537,1954,7933,-505,-457,-1746,-1612,3786,-1333,1558,-984,1550,1020,375,-1390,683,-571,1078,-116,-67,437,-1979,614,-113,-49,,,,,,,,,,
BULGARIA,1119,2552,845,29,255,-23,2727,1496,1452,410,373,-1001,344,3246,-1275,30,-1358,-1523,1786,1706,2101,585,-367,-946,-941,2234,1480,556,-2743,-467,1762,776,-4459,1046,-522,17,1027,-403,-1544,1697,-313,382,-211,572,424,68,-138,-14,-296,,,,,,,,,,
CANADA,-2053,4347,3918,8473,6370,2309,2735,-119,8165,4111,6555,10674,5076,5199,-2321,-8228,13199,-6675,14611,12518,-9539,-4716,-10220,-10746,1448,-623,3576,-1271,-421,14338,1486,5605,-4243,106,-3169,371,2816,742,5230,4297,-2951,13,-518,-681,404,-2687,-5386,-5062,1747,7491,,3210,3045,,,,,,
CHINA,,,,,,,,,,,,,,,,,,,,11566,-1176,1472,814,-968,744,1823,666,6764,16003,8937,1941,1477,7489,6025,388,5248,11606,10083,12185,18969,37394,36626,34967,44259,53066,14625,38457,12148,11129,,,,,,,,,,
CZECH REPUBLIC,,,,,,,,,,,,3737,4248,1068,573,143,-623,1108,377,349,-746,-181,445,-142,173,181,1071,3804,6780,454,-1562,1243,136,383,646,776,254,1907,402,-368,-3299,-2607,4054,1471,325,-209,671,266,-582,,,,,,,,,,
FINLAND,,,,573,3287,316,7122,2022,880,1092,180,20,533,-84,-439,119,277,-236,630,-467,-204,550,1371,925,1084,-485,278,-459,435,-15,542,-357,506,-455,551,-711,376,-202,610,-27,-319,-45,-706,306,1034,-560,291,1596,8517,,,,,,,,,,
FRANCE,3424,-2509,2334,11799,8899,19393,42740,3289,33819,44807,31320,27891,10471,8894,28778,8286,18183,6647,27970,-8291,16597,18966,-1189,-7111,6270,19743,5864,13853,5918,7012,3138,-1359,-9690,-329,-28047,18333,13423,-16071,-1539,12102,1033,-32582,-4606,14062,-13505,-43666,24658,-81300,41680,-731,,4868,5309,,,,,,
GERMANY,9130,2197,11140,-189,5954,1671,9270,9455,2395,25263,31765,-7471,11700,9940,18162,-12550,-834,11317,-5250,-1486,3009,7411,7820,-8263,7747,-182,1686,-6043,22,2063,-3777,4097,-25500,7676,-13167,5293,-30700,-8212,-1956,-357,-4973,-6740,-7906,-296,-874,-10074,4526,-33552,-25169,2183,,3718,3106,,,,,,
HUNGARY,,,,,,,,,2295,1217,2581,882,3344,2299,423,-155,11,1059,-167,-567,-27,207,-260,-24,149,73,-53,-185,-2476,576,1811,-512,1354,3,431,359,49,56,-225,240,182,223,35,-361,557,-236,-57,-166,137,,,,,,,,,,
INDIA,354,644,-483,-372,865,-333,112,-805,474,1099,215,611,246,681,-1942,1824,-751,1031,-591,-601,2608,468,1575,1101,1317,2777,3095,174,-1131,-1318,686,-140,164,-2581,1568,5737,8464,717,343,3223,1412,362,-158,540,5351,-366,-616,2215,2672,1354,,,,,,,,,
