Country,<USD 40/kgU,<USD 80/kgU,<USD 130/kgU,<USD 260/kgU
Algeria,0.0,0.0,0.0,19500.0
Argentina,2400.0,19300.0,34300.0,35300.0
Australia,,,1684100.0,1959800.0
Bolivia,0.0,0.0,0.0,1400.0
Botswana,0.0,0.0,87200.0,87200.0
Brazil,138100.0,229400.0,276800.0,276800.0
Canada,0.0,292400.0,588500.0,865400.0
Central African Republic,0.0,0.0,0.0,2700.0
Chad,0.0,0.0,0.0,2400.0
Chile,0.0,0.0,0.0,1400.0
China,73200.0,132500.0,223900.0,244700.0
Congo Dem Rep of,0.0,0.0,0.0,2700.0
Czech Republic,0.0,0.0,0.0,119100.0
Denmark/Greenland,0.0,0.0,0.0,114000.0
Egypt,0.0,0.0,400.0,1900.0
Finland,0.0,0.0,1200.0,1200.0
Gabon,0.0,0.0,4800.0,5800.0
Germany,0.0,0.0,0.0,17000.0
Greece,0.0,0.0,0.0,7000.0
Guyana,0.0,0.0,0.0,4600.0
Hungary,0.0,0.0,0.0,16700.0
India,,,,220900.0
Indonesia,1500.0,8600.0,8600.0,
Iran Islamic Rep of,0.0,0.0,7400.0,7400.0
Italy,0.0,0.0,6100.0,6100.0
Japan,0.0,0.0,6600.0,6600.0
Jordan,0.0,0.0,52500.0,52500.0
Kazakhstan,502000.0,732100.0,815200.0,874700.0
Malawi,0.0,0.0,9500.0,16300.0
Mali,0.0,0.0,8900.0,8900.0
Mauritania,0.0,0.0,18800.0,26100.0
Mexico,0.0,0.0,3700.0,5000.0
Mongolia,0.0,16700.0,144600.0,160300.0
Namibia,19700.0,470100.0,509500.0,
Niger,14600.0,311100.0,468000.0,
Paraguay,0.0,4400.0,4400.0,
Peru,0.0,33400.0,33400.0,33400.0
Portugal,3600.0,5600.0,5600.0,
Romania,0.0,6600.0,6600.0,
Russia,0.0,35000.0,480900.0,656900.0
Senegal,0.0,0.0,1100.0,1100.0
Slovak Republic,0.0,12700.0,15500.0,15500.0
Slovenia,0.0,5400.0,9200.0,9200.0
Somalia,0.0,0.0,0.0,7600.0
South Africa,0.0,228000.0,320900.0,444700.0
Spain,8100.0,28500.0,28500.0,28500.0
Sweden,0.0,0.0,9600.0,9600.0
Tanzania,0.0,46800.0,89000.0,114700.0
Turkey,0.0,11700.0,11700.0,
Ukraine,71800.0,107900.0,185400.0,
United States,0.0,9000.0,59400.0,77100.0
Uzbekistan,52100.0,52100.0,131300.0,131300.0
Viet Nam,0.0,30000.0,30000.0,
Zambia,0.0,31000.0,31000.0,
Zimbabwe,0.0,0.0,0.0,10900.0
