Country,<USD 40/kgU,<USD 80/kgU,<USD 130/kgU,<USD 260/kgU
Argentina,3200.0,16300.0,31800.0,33100
Australia,,,700900.0,985100
Bolivia,0.0,0.0,0.0,1700
Botswana,0.0,0.0,107700.0,107700
Brazil,0.0,104900.0,172600.0,172600
Canada,0.0,11500.0,113300.0,247900
Central African Republic,0.0,0.0,0.0,36500
Chad,0.0,0.0,0.0,3200
Chile,0.0,0.0,0.0,1200
China,59200.0,109100.0,162000.0,185000
Congo Dem Rep of,0.0,0.0,0.0,1700
Czech Republic,0.0,0.0,113500.0,113500
Denmark/Greenland,0.0,0.0,0.0,125100
Egypt,0.0,0.0,500.0,2500
Gabon,0.0,0.0,0.0,1300
Germany,0.0,0.0,0.0,5300
Greece,0.0,0.0,0.0,8000
Guyana,0.0,0.0,0.0,2900
Hungary,0.0,0.0,0.0,22200
India,,,,10500
Indonesia,0.0,0.0,4100.0,4100
Iran Islamic Rep of,0.0,0.0,5500.0,5500
Italy,0.0,1700.0,1700.0,1700
Jordan,0.0,0.0,62000.0,62000
Kazakhstan,280800.0,467400.0,504600.0,552600
Malawi,0.0,0.0,2300.0,5600
Mali,0.0,0.0,5200.0,5200
Mauritania,0.0,0.0,14300.0,23700
Mexico,0.0,0.0,0.0,0
Mongolia,0.0,12400.0,104100.0,104100
Namibia,0.0,9200.0,333000.0,513800
Niger,0.0,44800.0,66200.0,172600
Paraguay,0.0,0.0,1600.0,1600
Peru,0.0,27700.0,27700.0,27700
Portugal,0.0,0.0,1000.0,1000
Romania,0.0,0.0,4800.0,4800
Russia,0.0,19200.0,333000.0,513800
Senegal,0.0,0.0,0.0,1500
Slovak Republic,0.0,4900.0,8400.0,8400
Slovenia,0.0,5000.0,10000.0,10000
Somalia,0.0,0.0,0.0,3500
South Africa,0.0,82200.0,112200.0,260600
Spain,0.0,11400.0,11400.0,11400
Sweden,0.0,0.0,6300.0,6300
Tanzania,0.0,10600.0,23000.0,23000
Turkey,0.0,0.0,0.0,0
Ukraine,0.0,30200.0,38200.0,73900
Uzbekistan,31100.0,31100.0,108500.0,108500
Viet Nam,0.0,0.0,0.0,4000
Zambia,0.0,0.0,20100.0,20100
