Name,Country,Status,Reactor Type,Reference Unit Power (Net Capacity),Construction Start Date,First Grid Connection,Commercial Operation Date,Permanent Shutdown Date
ARMENIAN-1,ARMENIA,Permanent Shutdown,PWR,376,"01 Jul, 1969","22 Dec, 1976","06 Oct, 1977","25 Feb, 1989"
ARMENIAN-2,ARMENIA,Operational,PWR,416,"01 Jul, 1975","05 Jan, 1980","03 May, 1980",
ATUCHA-1,ARGENTINA,Operational,PHWR,340,"31 May, 1968","18 Mar, 1974","23 Jun, 1974",
EMBALSE,ARGENTINA,Operational,PHWR,608,"31 Mar, 1974","24 Apr, 1983","19 Jan, 1984",
ATUCHA-2,ARGENTINA,Operational,PHWR,693,"13 Jul, 1981","24 Jun, 2014","25 May, 2016",
BR-3,BELGIUM,Permanent Shutdown,PWR,10,"01 Nov, 1957","10 Oct, 1962","10 Oct, 1962","30 Jun, 1987"
DOEL-1,BELGIUM,Operational,PWR,445,"01 Jul, 1969","28 Aug, 1974","15 Feb, 1975",
TIHANGE-1,BELGIUM,Operational,PWR,962,"01 Jun, 1970","07 Mar, 1975","01 Oct, 1975",
DOEL-2,BELGIUM,Operational,PWR,445,"01 Sep, 1971","21 Aug, 1975","01 Dec, 1975",
DOEL-3,BELGIUM,Permanent Shutdown,PWR,1006,"01 Jan, 1975","23 Jun, 1982","01 Oct, 1982","23 Sep, 2022"
TIHANGE-2,BELGIUM,Permanent Shutdown,PWR,1008,"01 Apr, 1976","13 Oct, 1982","01 Jun, 1983","01 Feb, 2023"
DOEL-4,BELGIUM,Operational,PWR,1026,"01 Dec, 1978","08 Apr, 1985","01 Jul, 1985",
TIHANGE-3,BELGIUM,Operational,PWR,1030,"01 Nov, 1978","15 Jun, 1985","01 Sep, 1985",
KOZLODUY-1,BULGARIA,Permanent Shutdown,PWR,408,"01 Apr, 1970","24 Jul, 1974","28 Oct, 1974","31 Dec, 2002"
KOZLODUY-2,BULGARIA,Permanent Shutdown,PWR,408,"01 Apr, 1970","24 Aug, 1975","10 Nov, 1975","31 Dec, 2002"
KOZLODUY-3,BULGARIA,Permanent Shutdown,PWR,408,"01 Oct, 1973","17 Dec, 1980","20 Jan, 1981","31 Dec, 2006"
KOZLODUY-4,BULGARIA,Permanent Shutdown,PWR,408,"01 Oct, 1973","17 May, 1982","20 Jun, 1982","31 Dec, 2006"
KOZLODUY-5,BULGARIA,Operational,PWR,1003,"09 Jul, 1980","29 Nov, 1987","23 Dec, 1988",
KOZLODUY-6,BULGARIA,Operational,PWR,1003,"01 Apr, 1982","02 Aug, 1991","30 Dec, 1993",
ANGRA-1,BRAZIL,Operational,PWR,609,"01 May, 1971","01 Apr, 1982","01 Jan, 1985",
ANGRA-2,BRAZIL,Operational,PWR,1275,"01 Jan, 1976","21 Jul, 2000","01 Feb, 2001",
ANGRA-3,BRAZIL,Under Construction,PWR,1340,"30 May, 2010",N/A,N/A,
ROLPHTON NPD,CANADA,Permanent Shutdown,PHWR,22,"01 Jan, 1958","04 Jun, 1962","01 Oct, 1962","01 Aug, 1987"
BRUCE-3,CANADA,Operational,PHWR,770,"01 Jul, 1972","12 Dec, 1977","01 Feb, 1978",
BRUCE-4,CANADA,Operational,PHWR,807,"01 Sep, 1972","21 Dec, 1978","18 Jan, 1979",
GENTILLY-2,CANADA,Permanent Shutdown,PHWR,635,"01 Apr, 1974","04 Dec, 1982","01 Oct, 1983","28 Dec, 2012"
PICKERING-5,CANADA,Operational,PHWR,516,"01 Nov, 1974","19 Dec, 1982","10 May, 1983",
PICKERING-6,CANADA,Operational,PHWR,516,"01 Oct, 1975","08 Nov, 1983","01 Feb, 1984",
PICKERING-7,CANADA,Operational,PHWR,516,"01 Mar, 1976","17 Nov, 1984","01 Jan, 1985",
PICKERING-8,CANADA,Operational,PHWR,516,"01 Sep, 1976","21 Jan, 1986","28 Feb, 1986",
POINT LEPREAU,CANADA,Operational,PHWR,660,"01 May, 1975","11 Sep, 1982","01 Feb, 1983",
BRUCE-5,CANADA,Operational,PHWR,817,"31 May, 1978","01 Dec, 1984","28 Feb, 1985",
BRUCE-6,CANADA,Operational,PHWR,817,"01 Jan, 1978","26 Jun, 1984","14 Sep, 1984",
DOUGLAS POINT,CANADA,Permanent Shutdown,PHWR,206,"01 Feb, 1960","07 Jan, 1967","26 Sep, 1968","04 May, 1984"
BRUCE-7,CANADA,Operational,PHWR,817,"01 May, 1979","22 Feb, 1986","10 Apr, 1986",
BRUCE-8,CANADA,Operational,PHWR,817,"30 Jul, 1979","07 Mar, 1987","20 May, 1987",
DARLINGTON-1,CANADA,Operational,PHWR,878,"01 Apr, 1982","19 Dec, 1990","14 Nov, 1992",
DARLINGTON-2,CANADA,Operational,PHWR,878,"01 Sep, 1981","15 Jan, 1990","09 Oct, 1990",
DARLINGTON-3,CANADA,Operational,PHWR,878,"01 Sep, 1984","07 Dec, 1992","14 Feb, 1993",
DARLINGTON-4,CANADA,Operational,PHWR,878,"01 Jul, 1985","17 Apr, 1993","14 Jun, 1993",
GENTILLY-1,CANADA,Permanent Shutdown,HWLWR,250,"01 Sep, 1966","05 Apr, 1971","01 May, 1972","01 Jun, 1977"
PICKERING-1,CANADA,Operational,PHWR,515,"01 Jun, 1966","04 Apr, 1971","29 Jul, 1971",
PICKERING-2,CANADA,Permanent Shutdown,PHWR,515,"01 Sep, 1966","06 Oct, 1971","30 Dec, 1971","28 May, 2007"
PICKERING-3,CANADA,Permanent Shutdown,PHWR,515,"01 Dec, 1967","03 May, 1972","01 Jun, 1972","31 Oct, 2008"
PICKERING-4,CANADA,Operational,PHWR,515,"01 May, 1968","21 May, 1973","17 Jun, 1973",
BRUCE-1,CANADA,Operational,PHWR,811,"01 Jun, 1971","14 Jan, 1977","01 Sep, 1977",
BRUCE-2,CANADA,Operational,PHWR,777,"01 Dec, 1970","04 Sep, 1976","01 Sep, 1977",
BEZNAU-1,SWITZERLAND,Operational,PWR,365,"01 Sep, 1965","17 Jul, 1969","09 Dec, 1969",
MUEHLEBERG,SWITZERLAND,Permanent Shutdown,BWR,373,"01 Mar, 1967","01 Jul, 1971","06 Nov, 1972","20 Dec, 2019"
BEZNAU-2,SWITZERLAND,Operational,PWR,365,"01 Jan, 1968","23 Oct, 1971","04 Mar, 1972",
GOESGEN,SWITZERLAND,Operational,PWR,1010,"01 Dec, 1973","02 Feb, 1979","01 Nov, 1979",
LEIBSTADT,SWITZERLAND,Operational,BWR,1233,"01 Jan, 1974","24 May, 1984","15 Dec, 1984",
QINSHAN-1,CHINA,Operational,PWR,326,"20 Mar, 1985","15 Dec, 1991","01 Apr, 1994",
DAYA BAY-1,CHINA,Operational,PWR,944,"07 Aug, 1987","31 Aug, 1993","01 Feb, 1994",
DAYA BAY-2,CHINA,Operational,PWR,944,"07 Apr, 1988","07 Feb, 1994","06 May, 1994",
QINSHAN 2-1,CHINA,Operational,PWR,623,"02 Jun, 1996","06 Feb, 2002","15 Apr, 2002",
QINSHAN 2-2,CHINA,Operational,PWR,623,"01 Apr, 1997","11 Mar, 2004","03 May, 2004",
LING AO-1,CHINA,Operational,PWR,950,"15 May, 1997","26 Feb, 2002","28 May, 2002",
LING AO-2,CHINA,Operational,PWR,950,"28 Nov, 1997","14 Sep, 2002","08 Jan, 2003",
QINSHAN 3-1,CHINA,Operational,PHWR,677,"08 Jun, 1998","19 Nov, 2002","31 Dec, 2002",
TEMELIN-1,CZECH REPUBLIC,Operational,PWR,1027,"01 Feb, 1987","21 Dec, 2000","10 Jun, 2002",
TEMELIN-2,CZECH REPUBLIC,Operational,PWR,1029,"01 Feb, 1987","29 Dec, 2002","18 Apr, 2003",
DUKOVANY-1,CZECH REPUBLIC,Operational,PWR,468,"01 Jan, 1979","24 Feb, 1985","03 May, 1985",
DUKOVANY-2,CZECH REPUBLIC,Operational,PWR,471,"01 Jan, 1979","30 Jan, 1986","21 Mar, 1986",
DUKOVANY-3,CZECH REPUBLIC,Operational,PWR,468,"01 Mar, 1979","14 Nov, 1986","20 Dec, 1986",
DUKOVANY-4,CZECH REPUBLIC,Operational,PWR,471,"01 Mar, 1979","11 Jun, 1987","19 Jul, 1987",
VAK KAHL,GERMANY,Decommissioning Completed,BWR,15,"01 Jul, 1958",N/A,N/A,"25 Nov, 1985"
STADE,GERMANY,Permanent Shutdown,PWR,640,"01 Dec, 1967","29 Jan, 1972","19 May, 1972","14 Nov, 2003"
NIEDERAICHBACH,GERMANY,Decommissioning Completed,HWGCR,100,"01 Jun, 1966",N/A,N/A,"31 Jul, 1974"
BIBLIS-A,GERMANY,Permanent Shutdown,PWR,1167,"01 Jan, 1970","25 Aug, 1974","26 Feb, 1975","06 Aug, 2011"
BRUNSBUETTEL,GERMANY,Permanent Shutdown,BWR,771,"15 Apr, 1970","13 Jul, 1976","09 Feb, 1977","06 Aug, 2011"
PHILIPPSBURG-1,GERMANY,Permanent Shutdown,BWR,890,"01 Oct, 1970","05 May, 1979","26 Mar, 1980","06 Aug, 2011"
NECKARWESTHEIM-1,GERMANY,Permanent Shutdown,PWR,785,"01 Feb, 1972","03 Jun, 1976","01 Dec, 1976","06 Aug, 2011"
ISAR-1,GERMANY,Permanent Shutdown,BWR,878,"01 May, 1972","03 Dec, 1977","21 Mar, 1979","06 Aug, 2011"
UNTERWESER,GERMANY,Permanent Shutdown,PWR,1345,"01 Jul, 1972","29 Sep, 1978","06 Sep, 1979","06 Aug, 2011"
BIBLIS-B,GERMANY,Permanent Shutdown,PWR,1240,"01 Feb, 1972","25 Apr, 1976","31 Jan, 1977","06 Aug, 2011"
THTR-300,GERMANY,Permanent Shutdown,HTGR,296,"03 May, 1971","16 Nov, 1985","01 Jun, 1987","29 Sep, 1988"
MZFR,GERMANY,Permanent Shutdown,PHWR,52,"01 Dec, 1961","09 Mar, 1966","19 Dec, 1966","03 May, 1984"
KRUEMMEL,GERMANY,Permanent Shutdown,BWR,1346,"05 Apr, 1974","28 Sep, 1983","28 Mar, 1984","06 Aug, 2011"
MUELHEIM-KAERLICH,GERMANY,Permanent Shutdown,PWR,1219,"15 Jan, 1975","14 Mar, 1986","18 Aug, 1987","09 Sep, 1988"
GRAFENRHEINFELD,GERMANY,Permanent Shutdown,PWR,1275,"01 Jan, 1975","30 Dec, 1981","17 Jun, 1982","27 Jun, 2015"
PHILIPPSBURG-2,GERMANY,Permanent Shutdown,PWR,1402,"07 Jul, 1977","17 Dec, 1984","18 Apr, 1985","31 Dec, 2019"
GUNDREMMINGEN-B,GERMANY,Permanent Shutdown,BWR,1284,"20 Jul, 1976","16 Mar, 1984","19 Jul, 1984","31 Dec, 2017"
GROHNDE,GERMANY,Permanent Shutdown,PWR,1360,"01 Jun, 1976","05 Sep, 1984","01 Feb, 1985","31 Dec, 2021"
GUNDREMMINGEN-C,GERMANY,Permanent Shutdown,BWR,1288,"20 Jul, 1976","02 Nov, 1984","18 Jan, 1985","31 Dec, 2021"
GUNDREMMINGEN-A,GERMANY,Permanent Shutdown,BWR,237,"12 Dec, 1962","01 Dec, 1966","12 Apr, 1967","13 Jan, 1977"
ISAR-2,GERMANY,Permanent Shutdown,PWR,1410,"15 Sep, 1982","22 Jan, 1988","09 Apr, 1988","15 Apr, 2023"
BROKDORF,GERMANY,Permanent Shutdown,PWR,1410,"01 Jan, 1976","14 Oct, 1986","22 Dec, 1986","31 Dec, 2021"
EMSLAND,GERMANY,Permanent Shutdown,PWR,1335,"10 Aug, 1982","19 Apr, 1988","20 Jun, 1988","15 Apr, 2023"
AVR JUELICH,GERMANY,Permanent Shutdown,HTGR,13,"01 Aug, 1961","17 Dec, 1967","19 May, 1969","31 Dec, 1988"
NECKARWESTHEIM-2,GERMANY,Permanent Shutdown,PWR,1310,"09 Nov, 1982","03 Jan, 1989","15 Apr, 1989","15 Apr, 2023"
OBRIGHEIM,GERMANY,Permanent Shutdown,PWR,340,"15 Mar, 1965","29 Oct, 1968","31 Mar, 1969","11 May, 2005"
RHEINSBERG,GERMANY,Permanent Shutdown,PWR,62,"01 Jan, 1960","06 May, 1966","11 Oct, 1966","01 Jun, 1990"
GREIFSWALD-1,GERMANY,Permanent Shutdown,PWR,408,"01 Mar, 1970","17 Dec, 1973","12 Jul, 1974","18 Dec, 1990"
GREIFSWALD-2,GERMANY,Permanent Shutdown,PWR,408,"01 Mar, 1970","23 Dec, 1974","16 Apr, 1975","14 Feb, 1990"
GREIFSWALD-3,GERMANY,Permanent Shutdown,PWR,408,"01 Apr, 1972","24 Oct, 1977","01 May, 1978","28 Feb, 1990"
GREIFSWALD-4,GERMANY,Permanent Shutdown,PWR,408,"01 Apr, 1972","03 Sep, 1979","01 Nov, 1979","02 Jun, 1990"
GREIFSWALD-5,GERMANY,Permanent Shutdown,PWR,408,"01 Dec, 1976","24 Apr, 1989","01 Nov, 1989","24 Nov, 1989"
LINGEN,GERMANY,Permanent Shutdown,BWR,183,"01 Oct, 1964","01 Jul, 1968","01 Oct, 1968","05 Jan, 1977"
HDR GROSSWELZHEIM,GERMANY,Decommissioning Completed,BWR,25,"01 Jan, 1965",N/A,N/A,"20 Jul, 1971"
KNK II,GERMANY,Permanent Shutdown,FBR,17,"01 Sep, 1974","09 Apr, 1978","03 Mar, 1979","23 Aug, 1991"
WUERGASSEN,GERMANY,Permanent Shutdown,BWR,640,"26 Jan, 1968","18 Dec, 1971","11 Nov, 1975","26 Aug, 1994"
EL DABAA-1,EGYPT,Under Construction,PWR,1100,"20 Jul, 2022",N/A,N/A,
EL DABAA-2,EGYPT,Under Construction,PWR,1100,"19 Nov, 2022",N/A,N/A,
JOSE CABRERA-1,SPAIN,Permanent Shutdown,PWR,141,"24 Jun, 1964","14 Jul, 1968","13 Aug, 1969","30 Apr, 2006"
COFRENTES,SPAIN,Operational,BWR,1064,"09 Sep, 1975","14 Oct, 1984","11 Mar, 1985",
TRILLO-1,SPAIN,Operational,PWR,1003,"17 Aug, 1979","23 May, 1988","06 Aug, 1988",
VANDELLOS-2,SPAIN,Operational,PWR,1047,"29 Dec, 1980","12 Dec, 1987","08 Mar, 1988",
SANTA MARIA DE GARONA,SPAIN,Permanent Shutdown,BWR,446,"01 Sep, 1966","02 Mar, 1971","11 May, 1971","02 Aug, 2017"
