Country,Uranium Required [T],Year
Argentina,219,September 2024
Armenia,55,September 2024
Bangladesh,371,September 2024
Belarus,357,September 2024
Belgium,516,September 2024
Brazil,339,September 2024
Bulgaria,334,September 2024
Canada,1455,September 2024
China,13132,September 2024
Czech Republic,715,September 2024
Egypt,0,September 2024
Finland,616,September 2024
France,8232,September 2024
Germany,0,September 2024
Ghana,0,September 2024
Hungary,320,September 2024
India,1725,September 2024
Iran,153,September 2024
Japan,2180,September 2024
Kazakhstan,0,September 2024
Korea RO (South),4309,September 2024
Mexico,237,September 2024
Netherlands,69,September 2024
Pakistan,555,September 2024
Poland,0,September 2024
Romania,185,September 2024
Russia,5436,September 2024
Saudi Arabia,0,September 2024
Slovakia,527,September 2024
Slovenia,127,September 2024
South Africa,277,September 2024
Spain,1218,September 2024
Sweden,932,September 2024
Switzerland,412,September 2024
Turkey,882,September 2024
Ukraine,1673,September 2024
UAE,853,September 2024
United Kingdom,817,September 2024
USA,18137,September 2024
Uzbekistan,0,September 2024
Argentina,195,November 2018
Armenia,77,November 2018
Bangladesh,0,November 2018
Belarus,0,November 2018
Belgium,987,November 2018
Brazil,321,November 2018
Bulgaria,327,November 2018
Canada,1592,November 2018
Chile,0,November 2018
China,8289,November 2018
Czech Republic,649,November 2018
Egypt,0,November 2018
Finland,494,November 2018
France,9502,November 2018
Germany,1480,November 2018
Hungary,349,November 2018
India,843,November 2018
Indonesia,0,November 2018
Iran,157,November 2018
Israel,0,November 2018
Italy,0,November 2018
Japan,662,November 2018
Jordan,0,November 2018
Kazakhstan,0,November 2018
Korea DPR (North),0,November 2018
Korea RO (South),4730,November 2018
Lithuania,0,November 2018
Malaysia,0,November 2018
Mexico,248,November 2018
Netherlands,82,November 2018
Pakistan,217,November 2018
Poland,0,November 2018
Romania,183,November 2018
Russia,5380,November 2018
Saudi Arabia,0,November 2018
Slovakia,651,November 2018
Slovenia,141,November 2018
South Africa,279,November 2018
Spain,1275,November 2018
Sweden,1188,November 2018
Switzerland,497,November 2018
Thailand,0,November 2018
Turkey,0,November 2018
Ukraine,1944,November 2018
UAE,627,November 2018
United Kingdom,1772,November 2018
USA,18996,November 2018
Uzbekistan,0,November 2018
Vietnam,0,November 2018
Argentina,198,August 2020
Armenia,77,August 2020
Bangladesh,0,August 2020
Belarus,701,August 2020
Belgium,999,August 2020
Brazil,325,August 2020
Bulgaria,331,August 2020
Canada,1538,August 2020
China,9834,August 2020
Czech Republic,665,August 2020
Egypt,0,August 2020
Finland,765,August 2020
France,8936,August 2020
Germany,1264,August 2020
Hungary,352,August 2020
India,967,August 2020
Iran,157,August 2020
Japan,2000,August 2020
Jordan,0,August 2020
Kazakhstan,0,August 2020
Korea RO (South),4903,August 2020
Lithuania,0,August 2020
Mexico,251,August 2020
Netherlands,83,August 2020
Pakistan,196,August 2020
Poland,0,August 2020
Romania,185,August 2020
Russia,4834,August 2020
Saudi Arabia,0,August 2020
Slovakia,515,August 2020
Slovenia,141,August 2020
South Africa,283,August 2020
Spain,1290,August 2020
Sweden,962,August 2020
Switzerland,390,August 2020
Thailand,0,August 2020
Turkey,0,August 2020
Ukraine ,1893,August 2020
UAE,966,August 2020
United Kingdom,1820,August 2020
USA,19746,August 2020
Uzbekistan,0,August 2020
Argentina,198,November 2020
Armenia,77,November 2020
Bangladesh,0,November 2020
Belarus,701,November 2020
Belgium,999,November 2020
Brazil,325,November 2020
Bulgaria,331,November 2020
Canada,1538,November 2020
China,9834,November 2020
Czech Republic,665,November 2020
Egypt,0,November 2020
Finland,765,November 2020
France,8936,November 2020
Germany,1264,November 2020
Hungary,352,November 2020
India,967,November 2020
Iran,157,November 2020
Japan,2000,November 2020
